windowDuration_s,arOrder,medianDeltaAICc_relativeToAR1,fractionOfProbeFitsLocallyBest,selectedCommonOrder
120,1,0,0,0
120,2,-3125.80033602786,0,0
120,3,-4926.99320500801,0,0
120,4,-7162.41550288904,0,0
120,5,-8615.95501236016,0,0
120,6,-10263.1660324237,0.0161111111111111,0
120,7,-11411.3768282262,0.0211111111111111,0
120,8,-12779.4317872288,0.0208333333333333,0
120,9,-13845.9106568765,0.0122222222222222,0
120,10,-15132.2774986024,0.0111111111111111,0
120,11,-15975.6861010982,0.00694444444444444,0
120,12,-16884.6313206339,0.00416666666666667,0
120,13,-17595.1616990327,0.00333333333333333,0
120,14,-18288.970008581,0.000555555555555556,0
120,15,-18751.9520288592,0.000555555555555556,0
120,16,-19413.1937689624,0.000277777777777778,0
120,17,-19859.7508834261,0.000555555555555556,0
120,18,-20361.7631950248,0,0
120,19,-20849.3768586682,0,0
120,20,-21412.7259898435,0,0
120,21,-21755.3236924906,0.000277777777777778,0
120,22,-22031.4265108696,0.000555555555555556,0
120,23,-22166.7417564018,0,0
120,24,-22276.2611551871,0.000277777777777778,0
120,25,-22295.2622388835,0,0
120,26,-22326.3030031575,0,0
120,27,-22377.0885895996,0,0
120,28,-22414.6727612157,0.0075,0
120,29,-22442.453335195,0.115,0
120,30,-22455.0507985069,0.778611111111111,1
