windowDuration_s,arOrder,medianDeltaAIC_relativeToAR1,fractionOfProbeFitsLocallyBest,selectedCommonOrder
120,1,0,0,0
120,2,-3125.81374756716,0,0
120,3,-4927.02678450118,0,0
120,4,-7162.47604081658,0,0
120,5,-8616.04933349796,0,0
120,6,-10263.3009960743,0.0158333333333333,0
120,7,-11411.5593284522,0.0205555555555556,0
120,8,-12779.6687530879,0.0205555555555556,0
120,9,-13846.209052659,0.0111111111111111,0
120,10,-15132.6443240704,0.0116666666666667,0
120,11,-15976.1283917268,0.00777777777777778,0
120,12,-16885.1561478547,0.00305555555555556,0
120,13,-17595.7761704791,0.00555555555555556,0
120,14,-18289.6812683357,0.000555555555555556,0
120,15,-18752.7672577043,0.000555555555555556,0
120,16,-19414.1201846304,0.000277777777777778,0
120,17,-19860.7957408546,0.000833333333333333,0
120,18,-20362.9337866124,0,0
120,19,-20850.6805145326,0.00222222222222222,0
120,20,-21414.1700780824,0.899444444444444,1
