windowDuration_s,signalName,arOrder,medianDeltaAICc_relativeToAR1,fractionOfProbeFitsLocallyBest
120,surge_m,1,0,0
120,surge_m,2,-3153.38794392715,0
120,surge_m,3,-5028.02577710673,0
120,surge_m,4,-7069.77345134886,0
120,surge_m,5,-8460.78897858528,0
120,surge_m,6,-9949.16998701518,0.00833333333333333
120,surge_m,7,-11120.5272298309,0.0316666666666667
120,surge_m,8,-12518.8022530642,0.03
120,surge_m,9,-13656.7721287677,0.0133333333333333
120,surge_m,10,-15058.5848268755,0.005
120,surge_m,11,-16125.5173680759,0.00333333333333333
120,surge_m,12,-17156.576441693,0.00166666666666667
120,surge_m,13,-17791.3786369154,0
120,surge_m,14,-18690.6676277978,0
120,surge_m,15,-19473.4445156394,0.00166666666666667
120,surge_m,16,-20118.0811452708,0
120,surge_m,17,-20559.6029065287,0
120,surge_m,18,-21233.5429296647,0
120,surge_m,19,-21597.6783269365,0
120,surge_m,20,-21986.5756027281,0
120,surge_m,21,-22353.1803737592,0.00166666666666667
120,surge_m,22,-22455.1894730872,0
120,surge_m,23,-22508.0540546131,0
120,surge_m,24,-22589.8112362868,0.00166666666666667
120,surge_m,25,-22686.5828634032,0
120,surge_m,26,-22723.7610752153,0
120,surge_m,27,-22742.6703461716,0
120,surge_m,28,-22788.9669045356,0.005
120,surge_m,29,-22800.2038189603,0.0583333333333333
120,surge_m,30,-22843.2244997019,0.838333333333333
120,heave_m,1,0,0
120,heave_m,2,-3276.53681500335,0
120,heave_m,3,-5175.72766842993,0
120,heave_m,4,-7527.72355937866,0
120,heave_m,5,-9163.66176524194,0
120,heave_m,6,-11058.074067436,0.0483333333333333
120,heave_m,7,-12357.2061297527,0.00833333333333333
120,heave_m,8,-13829.3033837044,0
120,heave_m,9,-14911.8419682017,0.005
120,heave_m,10,-16281.0905293148,0.0166666666666667
120,heave_m,11,-17336.9116792832,0.00833333333333333
120,heave_m,12,-18457.4910480298,0.0116666666666667
120,heave_m,13,-19124.0598666489,0.00166666666666667
120,heave_m,14,-19886.2098490018,0
120,heave_m,15,-20506.2349013793,0
120,heave_m,16,-21086.2521857295,0
120,heave_m,17,-21494.2841142829,0
120,heave_m,18,-22189.5614083935,0
120,heave_m,19,-22607.0629276553,0
120,heave_m,20,-22811.7192059738,0
120,heave_m,21,-22824.2213609282,0
120,heave_m,22,-23039.1514988782,0
120,heave_m,23,-23112.1208095797,0
120,heave_m,24,-23199.502926239,0
120,heave_m,25,-23259.6035393848,0
120,heave_m,26,-23264.5505252745,0
120,heave_m,27,-23328.0291602538,0
120,heave_m,28,-23341.6809985602,0.0266666666666667
120,heave_m,29,-23342.3515859566,0.135
120,heave_m,30,-23348.6627353555,0.738333333333333
120,pitch_rad,1,0,0
120,pitch_rad,2,-3041.82324609158,0
120,pitch_rad,3,-4982.82517087393,0
120,pitch_rad,4,-7051.21704063695,0
120,pitch_rad,5,-8459.9566047414,0
120,pitch_rad,6,-9765.89213455326,0.0116666666666667
120,pitch_rad,7,-10825.1501104903,0.0233333333333333
120,pitch_rad,8,-12296.6075123352,0.0333333333333333
120,pitch_rad,9,-13603.05304636,0.0166666666666667
120,pitch_rad,10,-15175.0831086221,0.01
120,pitch_rad,11,-16434.1771167761,0.005
120,pitch_rad,12,-17929.9215087308,0
120,pitch_rad,13,-18811.1600842454,0
120,pitch_rad,14,-19428.2870528027,0
120,pitch_rad,15,-19995.1559582701,0
120,pitch_rad,16,-20765.6102066667,0
120,pitch_rad,17,-21096.0428485783,0
120,pitch_rad,18,-21567.0676845735,0
120,pitch_rad,19,-22012.1204029138,0
120,pitch_rad,20,-22291.1736544106,0
120,pitch_rad,21,-22607.8368142378,0
120,pitch_rad,22,-22787.6398426248,0
120,pitch_rad,23,-22785.7217399422,0
120,pitch_rad,24,-22805.9618369186,0
120,pitch_rad,25,-22928.7679571629,0
120,pitch_rad,26,-22960.8178236885,0
120,pitch_rad,27,-22962.7636331152,0
120,pitch_rad,28,-22974.6611346919,0.00166666666666667
120,pitch_rad,29,-23022.9746609861,0.241666666666667
120,pitch_rad,30,-23028.032238365,0.656666666666667
120,relDisp_m,1,0,0
120,relDisp_m,2,-3272.59446224227,0
120,relDisp_m,3,-5115.1937443275,0
120,relDisp_m,4,-7487.4744967856,0
120,relDisp_m,5,-9104.29350052294,0
120,relDisp_m,6,-10968.0284361027,0.005
120,relDisp_m,7,-12238.8502549504,0.02
120,relDisp_m,8,-13633.3022368326,0.0216666666666667
120,relDisp_m,9,-14609.3153081233,0.00833333333333333
120,relDisp_m,10,-15712.4646201541,0.0116666666666667
120,relDisp_m,11,-16515.1230789296,0.015
120,relDisp_m,12,-17397.9656348685,0.005
120,relDisp_m,13,-18061.8999629793,0.005
120,relDisp_m,14,-18814.5550234801,0.00333333333333333
120,relDisp_m,15,-19265.2609999034,0.00166666666666667
120,relDisp_m,16,-19845.3254168649,0.00166666666666667
120,relDisp_m,17,-20358.033651426,0
120,relDisp_m,18,-20954.0452966927,0
120,relDisp_m,19,-21452.3580548257,0
120,relDisp_m,20,-22127.9641090328,0
120,relDisp_m,21,-22533.9749318755,0
120,relDisp_m,22,-22884.1603891368,0
120,relDisp_m,23,-22975.4642680123,0
120,relDisp_m,24,-22978.4128469211,0
120,relDisp_m,25,-23022.2137370481,0
120,relDisp_m,26,-23076.1796205448,0
120,relDisp_m,27,-23121.7398510107,0
120,relDisp_m,28,-23147.0744848128,0.01
120,relDisp_m,29,-23200.6253348007,0.0316666666666667
120,relDisp_m,30,-23231.4838157112,0.86
120,relVel_mps,1,0,0
120,relVel_mps,2,-3034.44732859744,0
120,relVel_mps,3,-4748.20267012088,0
120,relVel_mps,4,-7019.09065529041,0
120,relVel_mps,5,-8469.19881339648,0
120,relVel_mps,6,-10155.255082403,0.0116666666666667
120,relVel_mps,7,-11253.5840309759,0.0216666666666667
120,relVel_mps,8,-12508.7460784449,0.02
120,relVel_mps,9,-13387.2242148128,0.015
120,relVel_mps,10,-14370.6727372103,0.0116666666666667
120,relVel_mps,11,-15098.3296217442,0.005
120,relVel_mps,12,-15920.5896330541,0.00333333333333333
120,relVel_mps,13,-16534.9974752508,0.00666666666666667
120,relVel_mps,14,-17111.6893847723,0
120,relVel_mps,15,-17550.6981847481,0
120,relVel_mps,16,-18219.7181981546,0
120,relVel_mps,17,-18687.3021510087,0.00166666666666667
120,relVel_mps,18,-19307.8146044529,0
120,relVel_mps,19,-19846.0199791799,0
120,relVel_mps,20,-20380.7393570119,0
120,relVel_mps,21,-20707.9518905608,0
120,relVel_mps,22,-21052.7211090439,0.00166666666666667
120,relVel_mps,23,-21177.3016376239,0
120,relVel_mps,24,-21307.3631689473,0
120,relVel_mps,25,-21305.2107097113,0
120,relVel_mps,26,-21328.5798963362,0
120,relVel_mps,27,-21358.4644849879,0
120,relVel_mps,28,-21370.1014670624,0
120,relVel_mps,29,-21394.6018052087,0.106666666666667
120,relVel_mps,30,-21411.8049259263,0.795
120,ptoForce_N,1,0,0
120,ptoForce_N,2,-3034.44732859744,0
120,ptoForce_N,3,-4748.20267012088,0
120,ptoForce_N,4,-7019.09065529043,0
120,ptoForce_N,5,-8469.19881339632,0
120,ptoForce_N,6,-10155.2550824047,0.0116666666666667
120,ptoForce_N,7,-11253.5840309671,0.0216666666666667
120,ptoForce_N,8,-12508.7460784288,0.02
120,ptoForce_N,9,-13387.2242146667,0.015
120,ptoForce_N,10,-14370.6727390626,0.0116666666666667
120,ptoForce_N,11,-15098.3296215401,0.005
120,ptoForce_N,12,-15920.5896343632,0.00333333333333333
120,ptoForce_N,13,-16534.9974830233,0.00666666666666667
120,ptoForce_N,14,-17111.6893755538,0
120,ptoForce_N,15,-17550.6981951095,0
120,ptoForce_N,16,-18219.718235289,0
120,ptoForce_N,17,-18687.3022559272,0.00166666666666667
120,ptoForce_N,18,-19307.8155929366,0
120,ptoForce_N,19,-19846.0276730778,0
120,ptoForce_N,20,-20380.7932803146,0
120,ptoForce_N,21,-20708.1121188892,0
120,ptoForce_N,22,-21055.2622779166,0.00166666666666667
120,ptoForce_N,23,-21183.9419099266,0
120,ptoForce_N,24,-21314.9711961034,0
120,ptoForce_N,25,-21321.5176602355,0
120,ptoForce_N,26,-21338.6990756237,0
120,ptoForce_N,27,-21368.2500888922,0
120,ptoForce_N,28,-21380.0152701197,0.00166666666666667
120,ptoForce_N,29,-21402.0707990854,0.116666666666667
120,ptoForce_N,30,-21421.7855292819,0.783333333333333
