windowDuration_s,arOrder,medianDeltaAICc_relativeToAR1,fractionOfProbeFitsLocallyBest,selectedCommonOrder
30,1,0,0,0
30,2,-775.818446782331,0,0
30,3,-1225.47803207305,0.00805555555555556,0
30,4,-1780.78886846711,0.00611111111111111,0
30,5,-2147.28621644334,0.0305555555555556,0
30,6,-2545.80776233134,0.0175,0
30,7,-2841.41568107363,0.0238888888888889,0
30,8,-3170.42827697118,0.00833333333333333,0
30,9,-3440.02068163084,0.0025,0
30,10,-3737.54658199888,0.000833333333333333,0
30,11,-3967.69246592892,0.000833333333333333,0
30,12,-4194.28108912423,0.000555555555555556,0
30,13,-4376.68062861391,0,0
30,14,-4538.29163897686,0,0
30,15,-4673.25338207894,0,0
30,16,-4820.42400796926,0,0
30,17,-4938.92909590174,0,0
30,18,-5058.67306542988,0,0
30,19,-5187.95064318095,0,0
30,20,-5313.07447016894,0,0
30,21,-5395.85093622386,0,0
30,22,-5462.51952907184,0,0
30,23,-5496.77739623792,0,0
30,24,-5519.79524495963,0.000277777777777778,0
30,25,-5523.6378236809,0.00638888888888889,0
30,26,-5533.22993405905,0.0144444444444444,0
30,27,-5543.39561230059,0.0447222222222222,0
30,28,-5547.31096115615,0.0930555555555556,0
30,29,-5551.24530364469,0.233055555555556,1
30,30,-5552.28399393245,0.508888888888889,0
