windowDuration_s,signalName,arOrder,medianDeltaAIC_relativeToAR1,fractionOfProbeFitsLocallyBest
60,surge_m,1,0,0
60,surge_m,2,-1574.11121168362,0
60,surge_m,3,-2505.5329014513,0
60,surge_m,4,-3529.44920286628,0
60,surge_m,5,-4224.42141166883,0.0116666666666667
60,surge_m,6,-4957.71864856606,0.0216666666666667
60,surge_m,7,-5555.18340412468,0.0216666666666667
60,surge_m,8,-6243.65819239909,0.0333333333333333
60,surge_m,9,-6801.68158079751,0.005
60,surge_m,10,-7494.56587218247,0.005
60,surge_m,11,-8050.10668621774,0
60,surge_m,12,-8569.70650357389,0
60,surge_m,13,-8884.34283183559,0
60,surge_m,14,-9327.87562023268,0
60,surge_m,15,-9709.19834095284,0
60,surge_m,16,-10030.8758581778,0
60,surge_m,17,-10254.7831562102,0
60,surge_m,18,-10592.2813213118,0
60,surge_m,19,-10779.65090604,0.02
60,surge_m,20,-10981.0786466945,0.881666666666667
60,heave_m,1,0,0
60,heave_m,2,-1638.2408024306,0
60,heave_m,3,-2580.08947029307,0.0116666666666667
60,heave_m,4,-3767.57797091298,0.01
60,heave_m,5,-4590.84753561096,0.00833333333333333
60,heave_m,6,-5525.83340045156,0.0616666666666667
60,heave_m,7,-6174.50210390676,0.00333333333333333
60,heave_m,8,-6893.75341419312,0.00166666666666667
60,heave_m,9,-7439.18213175888,0.00166666666666667
60,heave_m,10,-8100.83589593839,0.00166666666666667
60,heave_m,11,-8638.89425731315,0
60,heave_m,12,-9195.29879787881,0
60,heave_m,13,-9532.41879771135,0
60,heave_m,14,-9902.21879468203,0
60,heave_m,15,-10206.4509577294,0
60,heave_m,16,-10497.2324625696,0
60,heave_m,17,-10697.939987809,0
60,heave_m,18,-11042.4117865583,0
60,heave_m,19,-11257.5975747618,0.005
60,heave_m,20,-11343.7333815749,0.895
60,pitch_rad,1,0,0
60,pitch_rad,2,-1509.02180057437,0
60,pitch_rad,3,-2484.00345198358,0
60,pitch_rad,4,-3515.95853880212,0
60,pitch_rad,5,-4220.86012754465,0.0133333333333333
60,pitch_rad,6,-4843.60400521476,0.0233333333333333
60,pitch_rad,7,-5389.52468170206,0.0283333333333333
60,pitch_rad,8,-6098.27594880079,0.03
60,pitch_rad,9,-6745.99534076991,0.00333333333333333
60,pitch_rad,10,-7536.11694879723,0
60,pitch_rad,11,-8178.17827171386,0.00166666666666667
60,pitch_rad,12,-8938.39799128416,0
60,pitch_rad,13,-9388.41424349622,0
60,pitch_rad,14,-9699.08160754035,0
60,pitch_rad,15,-9971.22708703787,0
60,pitch_rad,16,-10360.2616620752,0
60,pitch_rad,17,-10530.2671061368,0
60,pitch_rad,18,-10768.6623133819,0
60,pitch_rad,19,-10988.9720399766,0
60,pitch_rad,20,-11131.4031364304,0.9
60,relDisp_m,1,0,0
60,relDisp_m,2,-1632.73117156363,0
60,relDisp_m,3,-2553.24674490488,0
60,relDisp_m,4,-3742.83073022218,0
60,relDisp_m,5,-4548.26966662091,0.0133333333333333
60,relDisp_m,6,-5482.00605139282,0.0183333333333333
60,relDisp_m,7,-6114.44990344689,0.0216666666666667
60,relDisp_m,8,-6803.05098218462,0.03
60,relDisp_m,9,-7304.76321086359,0.005
60,relDisp_m,10,-7852.15407863298,0.00333333333333333
60,relDisp_m,11,-8251.26818494397,0.00333333333333333
60,relDisp_m,12,-8680.92517080828,0.005
60,relDisp_m,13,-9009.71196928864,0
60,relDisp_m,14,-9368.95795531397,0
60,relDisp_m,15,-9598.78539255129,0
60,relDisp_m,16,-9880.45627994697,0
60,relDisp_m,17,-10140.650680753,0
60,relDisp_m,18,-10430.9916611935,0
60,relDisp_m,19,-10689.6038507622,0
60,relDisp_m,20,-11021.5950072921,0.9
60,relVel_mps,1,0,0
60,relVel_mps,2,-1516.89452136421,0
60,relVel_mps,3,-2371.87892480177,0
60,relVel_mps,4,-3509.16862782959,0
60,relVel_mps,5,-4234.50170405007,0.005
60,relVel_mps,6,-5063.50428872603,0.0116666666666667
60,relVel_mps,7,-5627.51768235892,0.0266666666666667
60,relVel_mps,8,-6246.81958390981,0.0283333333333333
60,relVel_mps,9,-6692.89917124708,0.01
60,relVel_mps,10,-7173.04880502919,0.00833333333333333
60,relVel_mps,11,-7538.26902195388,0.00666666666666667
60,relVel_mps,12,-7933.71481582786,0
60,relVel_mps,13,-8237.3275238549,0
60,relVel_mps,14,-8513.01552650885,0
60,relVel_mps,15,-8744.89606418954,0
60,relVel_mps,16,-9052.48199636779,0
60,relVel_mps,17,-9297.05100174719,0
60,relVel_mps,18,-9603.99100939007,0
60,relVel_mps,19,-9876.1186505613,0
60,relVel_mps,20,-10143.7917499868,0.903333333333333
60,ptoForce_N,1,0,0
60,ptoForce_N,2,-1516.89452136421,0
60,ptoForce_N,3,-2371.87892480178,0
60,ptoForce_N,4,-3509.16862782955,0
60,ptoForce_N,5,-4234.50170405033,0.005
