windowDuration_s,signalName,arOrder,medianDeltaAICc_relativeToAR1,fractionOfProbeFitsLocallyBest
30,relVel_mps,3,-1184.90474965126,0
30,relVel_mps,4,-1750.47680135667,0
30,relVel_mps,5,-2109.41104768571,0.0316666666666667
30,relVel_mps,6,-2513.33154773997,0.0133333333333333
30,relVel_mps,7,-2797.23364699368,0.0316666666666667
30,relVel_mps,8,-3104.90906541786,0.015
30,relVel_mps,9,-3339.70426832404,0.00333333333333333
30,relVel_mps,10,-3575.1933248517,0
30,relVel_mps,11,-3762.33468732923,0.00166666666666667
30,relVel_mps,12,-3952.13549341966,0.00166666666666667
30,relVel_mps,13,-4103.3231140723,0
30,relVel_mps,14,-4228.31380308868,0
30,relVel_mps,15,-4341.73864718437,0
30,relVel_mps,16,-4486.47708476259,0
30,relVel_mps,17,-4614.37152507673,0
30,relVel_mps,18,-4765.49500479599,0
30,relVel_mps,19,-4892.52581994391,0
30,relVel_mps,20,-5025.00247654409,0
30,relVel_mps,21,-5111.74670479894,0
30,relVel_mps,22,-5196.43649307776,0
30,relVel_mps,23,-5232.59523527434,0
30,relVel_mps,24,-5248.59710032076,0.00166666666666667
30,relVel_mps,25,-5256.58775260894,0.0133333333333333
30,relVel_mps,26,-5269.22224426639,0.0266666666666667
30,relVel_mps,27,-5273.744634454,0.0283333333333333
30,relVel_mps,28,-5273.88977118982,0.0716666666666667
30,relVel_mps,29,-5277.91420265403,0.251666666666667
30,relVel_mps,30,-5278.78411560567,0.508333333333333
30,ptoForce_N,1,0,0
30,ptoForce_N,2,-756.001736842873,0
30,ptoForce_N,3,-1184.90474965125,0
30,ptoForce_N,4,-1750.47680135668,0
30,ptoForce_N,5,-2109.41104768601,0.0316666666666667
30,ptoForce_N,6,-2513.33154773821,0.0133333333333333
30,ptoForce_N,7,-2797.23364699069,0.0316666666666667
30,ptoForce_N,8,-3104.90906540385,0.015
30,ptoForce_N,9,-3339.70426831342,0.00333333333333333
30,ptoForce_N,10,-3575.19332475368,0
30,ptoForce_N,11,-3762.33468687818,0.00166666666666667
30,ptoForce_N,12,-3952.13548828866,0.00166666666666667
30,ptoForce_N,13,-4103.32311663216,0
30,ptoForce_N,14,-4228.31376761294,0
30,ptoForce_N,15,-4341.73866468164,0
30,ptoForce_N,16,-4486.47690724743,0
30,ptoForce_N,17,-4614.37226796404,0
30,ptoForce_N,18,-4765.49680502616,0
30,ptoForce_N,19,-4892.52194977883,0
30,ptoForce_N,20,-5025.05386950895,0
30,ptoForce_N,21,-5111.60629059896,0
30,ptoForce_N,22,-5196.8716679187,0
30,ptoForce_N,23,-5235.4844865373,0
30,ptoForce_N,24,-5253.3065327673,0
30,ptoForce_N,25,-5261.09310503417,0.0183333333333333
30,ptoForce_N,26,-5271.58034162203,0.025
30,ptoForce_N,27,-5273.37138158149,0.0283333333333333
30,ptoForce_N,28,-5275.14172932852,0.0633333333333333
30,ptoForce_N,29,-5282.68722025885,0.218333333333333
30,ptoForce_N,30,-5284.00248909628,0.548333333333333
