windowDuration_s,signalName,arOrder,medianDeltaAIC_relativeToAR1,fractionOfProbeFitsLocallyBest
120,surge_m,1,0,0
120,surge_m,2,-3153.40135546645,0
120,surge_m,3,-5028.05935659989,0
120,surge_m,4,-7069.8339892764,0
120,surge_m,5,-8460.88329972308,0
120,surge_m,6,-9949.3049506658,0.00833333333333333
120,surge_m,7,-11120.7097300569,0.0316666666666667
120,surge_m,8,-12519.0392189233,0.03
120,surge_m,9,-13657.0705245502,0.0133333333333333
120,surge_m,10,-15058.9516523435,0.00666666666666667
120,surge_m,11,-16125.9596587045,0.00333333333333333
120,surge_m,12,-17157.1012689138,0.00166666666666667
120,surge_m,13,-17791.9931083617,0
120,surge_m,14,-18691.3788875525,0
120,surge_m,15,-19474.2597444844,0.00166666666666667
120,surge_m,16,-20119.0075609388,0
120,surge_m,17,-20560.6477639573,0
120,surge_m,18,-21234.7135212523,0
120,surge_m,19,-21598.9819828009,0.0133333333333333
120,surge_m,20,-21988.0196909669,0.89
120,heave_m,1,0,0
120,heave_m,2,-3276.55022654265,0
120,heave_m,3,-5175.76124792309,0
120,heave_m,4,-7527.7840973062,0
120,heave_m,5,-9163.75608637974,0
120,heave_m,6,-11058.2090310866,0.0466666666666667
120,heave_m,7,-12357.3886299787,0.00833333333333333
120,heave_m,8,-13829.5403495635,0
120,heave_m,9,-14912.1403639842,0.00333333333333333
120,heave_m,10,-16281.4573547828,0.0183333333333333
120,heave_m,11,-17337.3539699119,0.00833333333333333
120,heave_m,12,-18458.0158752506,0.005
120,heave_m,13,-19124.6743380953,0.01
120,heave_m,14,-19886.9211087566,0
120,heave_m,15,-20507.0501302244,0
120,heave_m,16,-21087.1786013975,0
120,heave_m,17,-21495.3289717115,0
120,heave_m,18,-22190.731999981,0
120,heave_m,19,-22608.3665835197,0
120,heave_m,20,-22813.1632942126,0.9
120,pitch_rad,1,0,0
120,pitch_rad,2,-3041.83665763088,0
120,pitch_rad,3,-4982.85875036709,0
120,pitch_rad,4,-7051.27757856449,0
120,pitch_rad,5,-8460.0509258792,0
120,pitch_rad,6,-9766.02709820387,0.0116666666666667
120,pitch_rad,7,-10825.3326107163,0.0233333333333333
120,pitch_rad,8,-12296.8444781944,0.0333333333333333
120,pitch_rad,9,-13603.3514421425,0.0166666666666667
120,pitch_rad,10,-15175.4499340901,0.01
120,pitch_rad,11,-16434.6194074048,0.005
120,pitch_rad,12,-17930.4463359516,0
120,pitch_rad,13,-18811.7745556917,0
120,pitch_rad,14,-19428.9983125574,0
120,pitch_rad,15,-19995.9711871151,0
120,pitch_rad,16,-20766.5366223347,0
120,pitch_rad,17,-21097.0877060068,0
120,pitch_rad,18,-21568.238276161,0
120,pitch_rad,19,-22013.4240587782,0
120,pitch_rad,20,-22292.6177426494,0.9
120,relDisp_m,1,0,0
120,relDisp_m,2,-3272.60787378157,0
120,relDisp_m,3,-5115.22732382066,0
120,relDisp_m,4,-7487.53503471314,0
120,relDisp_m,5,-9104.38782166074,0
120,relDisp_m,6,-10968.1633997533,0.005
120,relDisp_m,7,-12239.0327551764,0.02
120,relDisp_m,8,-13633.5392026918,0.02
120,relDisp_m,9,-14609.6137039058,0.01
120,relDisp_m,10,-15712.8314456221,0.0116666666666667
120,relDisp_m,11,-16515.5653695582,0.0133333333333333
120,relDisp_m,12,-17398.4904620892,0.005
120,relDisp_m,13,-18062.5144344256,0.00666666666666667
120,relDisp_m,14,-18815.2662832348,0.00333333333333333
120,relDisp_m,15,-19266.0762287484,0.00166666666666667
120,relDisp_m,16,-19846.2518325329,0.00166666666666667
120,relDisp_m,17,-20359.0785088546,0.00166666666666667
120,relDisp_m,18,-20955.2158882803,0
120,relDisp_m,19,-21453.66171069,0
120,relDisp_m,20,-22129.4081972717,0.9
120,relVel_mps,1,0,0
120,relVel_mps,2,-3034.46074013674,0
120,relVel_mps,3,-4748.23624961404,0
120,relVel_mps,4,-7019.15119321796,0
120,relVel_mps,5,-8469.29313453427,0
120,relVel_mps,6,-10155.3900460537,0.0116666666666667
120,relVel_mps,7,-11253.7665312019,0.02
120,relVel_mps,8,-12508.983044304,0.02
120,relVel_mps,9,-13387.5226105954,0.0116666666666667
120,relVel_mps,10,-14371.0395626783,0.0116666666666667
120,relVel_mps,11,-15098.7719123728,0.00833333333333333
120,relVel_mps,12,-15921.1144602749,0.00333333333333333
120,relVel_mps,13,-16535.6119466971,0.00833333333333333
120,relVel_mps,14,-17112.400644527,0
120,relVel_mps,15,-17551.5134135931,0
120,relVel_mps,16,-18220.6446138226,0
120,relVel_mps,17,-18688.3470084372,0.00166666666666667
120,relVel_mps,18,-19308.9851960404,0
120,relVel_mps,19,-19847.3236350443,0
120,relVel_mps,20,-20382.1834452508,0.903333333333333
120,ptoForce_N,1,0,0
120,ptoForce_N,2,-3034.46074013674,0
120,ptoForce_N,3,-4748.23624961405,0
120,ptoForce_N,4,-7019.15119321797,0
120,ptoForce_N,5,-8469.29313453412,0
120,ptoForce_N,6,-10155.3900460553,0.0116666666666667
120,ptoForce_N,7,-11253.7665311931,0.02
120,ptoForce_N,8,-12508.9830442879,0.02
120,ptoForce_N,9,-13387.5226104492,0.0116666666666667
120,ptoForce_N,10,-14371.0395645306,0.0116666666666667
120,ptoForce_N,11,-15098.7719121687,0.00833333333333333
120,ptoForce_N,12,-15921.114461584,0.00333333333333333
120,ptoForce_N,13,-16535.6119544696,0.00833333333333333
120,ptoForce_N,14,-17112.4006353085,0
120,ptoForce_N,15,-17551.5134239546,0
120,ptoForce_N,16,-18220.644650957,0
120,ptoForce_N,17,-18688.3471133558,0.00166666666666667
120,ptoForce_N,18,-19308.9861845242,0
120,ptoForce_N,19,-19847.3313289421,0
120,ptoForce_N,20,-20382.2373685535,0.903333333333333
