windowDuration_s,signalName,arOrder,medianDeltaAICc_relativeToAR1,fractionOfProbeFitsLocallyBest
60,surge_m,1,0,0
60,surge_m,2,-1574.08423046201,0
60,surge_m,3,-2505.46524318902,0
60,surge_m,4,-3529.32703246473,0
60,surge_m,5,-4224.23075285497,0.015
60,surge_m,6,-4957.44538196506,0.0216666666666667
60,surge_m,7,-5554.81326529964,0.0216666666666667
60,surge_m,8,-6243.17676985706,0.0316666666666667
60,surge_m,9,-6801.07431396113,0.00333333333333333
60,surge_m,10,-7493.81804932652,0.005
60,surge_m,11,-8049.20344236987,0
60,surge_m,12,-8568.63281837875,0
60,surge_m,13,-8883.08352738165,0
60,surge_m,14,-9326.41535884094,0
60,surge_m,15,-9707.52162292656,0
60,surge_m,16,-10028.9670195125,0
60,surge_m,17,-10252.6263662631,0
60,surge_m,18,-10589.8605804295,0
60,surge_m,19,-10776.9500431445,0
60,surge_m,20,-10978.0813168251,0
60,surge_m,21,-11146.0518489447,0
60,surge_m,22,-11193.6073268445,0
60,surge_m,23,-11226.8389082056,0
60,surge_m,24,-11276.4787397349,0
60,surge_m,25,-11310.6987157382,0
60,surge_m,26,-11335.8231025302,0
60,surge_m,27,-11360.9640474975,0
60,surge_m,28,-11373.7174425792,0.0166666666666667
60,surge_m,29,-11373.3971032327,0.08
60,surge_m,30,-11391.6709170166,0.805
60,heave_m,1,0,0
60,heave_m,2,-1638.21382120899,0
60,heave_m,3,-2580.02181203078,0.015
60,heave_m,4,-3767.45580051143,0.01
60,heave_m,5,-4590.6568767971,0.0116666666666667
60,heave_m,6,-5525.56013385055,0.0583333333333333
60,heave_m,7,-6174.13196508172,0.00166666666666667
60,heave_m,8,-6893.27199165109,0.00166666666666667
60,heave_m,9,-7438.5748649225,0.00166666666666667
60,heave_m,10,-8100.08807308244,0
60,heave_m,11,-8637.99101346527,0
60,heave_m,12,-9194.22511268367,0
60,heave_m,13,-9531.15949325742,0
60,heave_m,14,-9900.7585332903,0
60,heave_m,15,-10204.7742397031,0
60,heave_m,16,-10495.3236239043,0
60,heave_m,17,-10695.7831978618,0
60,heave_m,18,-11039.991045676,0
60,heave_m,19,-11254.8967118663,0
60,heave_m,20,-11340.7360517055,0
60,heave_m,21,-11344.2905525672,0
60,heave_m,22,-11457.7739565429,0
60,heave_m,23,-11485.8634280444,0
60,heave_m,24,-11535.341793521,0
60,heave_m,25,-11572.0663733851,0
60,heave_m,26,-11576.4291635541,0
60,heave_m,27,-11609.5604597575,0.00166666666666667
60,heave_m,28,-11625.1339072805,0.02
60,heave_m,29,-11638.5247870039,0.248333333333333
60,heave_m,30,-11639.4607412459,0.63
60,pitch_rad,1,0,0
60,pitch_rad,2,-1508.99481935276,0
60,pitch_rad,3,-2483.93579372129,0
60,pitch_rad,4,-3515.83636840057,0
60,pitch_rad,5,-4220.66946873079,0.0133333333333333
60,pitch_rad,6,-4843.33073861375,0.0233333333333333
60,pitch_rad,7,-5389.15454287702,0.0283333333333333
60,pitch_rad,8,-6097.79452625875,0.03
60,pitch_rad,9,-6745.38807393353,0.00333333333333333
60,pitch_rad,10,-7535.36912594128,0
60,pitch_rad,11,-8177.27502786599,0.00166666666666667
60,pitch_rad,12,-8937.32430608902,0
60,pitch_rad,13,-9387.15493904228,0
60,pitch_rad,14,-9697.62134614862,0
60,pitch_rad,15,-9969.55036901159,0
60,pitch_rad,16,-10358.3528234099,0
60,pitch_rad,17,-10528.1103161896,0
60,pitch_rad,18,-10766.2415724996,0
60,pitch_rad,19,-10986.2711770811,0
60,pitch_rad,20,-11128.405806561,0
