windowDuration_s,arOrder,medianDeltaAIC_relativeToAR1,fractionOfProbeFitsLocallyBest,selectedCommonOrder
30,1,0,0,0
30,2,-775.873052408365,0,0
30,3,-1225.61538860767,0.00722222222222222,0
30,4,-1781.03770350904,0.00638888888888889,0
30,5,-2147.67585608298,0.0283333333333333,0
30,6,-2546.36814789173,0.0186111111111111,0
30,7,-2842.17738644097,0.0233333333333333,0
30,8,-3171.4225265399,0.00888888888888889,0
30,9,-3441.27936888953,0.00277777777777778,0
30,10,-3739.1022887848,0.00138888888888889,0
30,11,-3969.57848238015,0.00166666666666667,0
30,12,-4196.53143435998,0.000555555555555556,0
30,13,-4379.33007217512,0,0
30,14,-4541.37572306095,0,0
30,15,-4676.80844460415,0,0
30,16,-4824.48720650614,0,0
30,17,-4943.53843251108,0,0
30,18,-5063.86741244866,0,0
30,19,-5193.76977000007,0.00972222222222222,0
30,20,-5319.55907104889,0.891111111111111,1
