time_s,surge_m,heave_m,pitch_rad,relDisp_m,relVel_mps,ptoForce_N,ptoPower_W,faultName,severity,Hs,Tp,runID,phaseSeed,Bfault_NsPm
0,8.18908806427497e-23,-0.719999999999999,6.47852441355353e-20,0,0,-8.83785833034838e-25,-0,healthy,1,1.6,7.2,1,101,1200000
0.1,-7.99539491695012e-11,-0.719999999738707,-3.45272787948728e-12,2.80234100660034e-10,1.09695131026838e-08,-0.0131634157232203,-1.44396261251939e-10,healthy,1,1.6,7.2,1,101,1200000
0.2,-1.57106802612459e-09,-0.719999995418522,-6.61659142741792e-11,4.91853520342303e-09,1.00322916911992e-07,-0.120387500294389,-1.20776251892764e-08,healthy,1,1.6,7.2,1,101,1200000
0.3,-9.18785760804526e-09,-0.719999975873925,-3.78426159602714e-10,2.59112546308541e-08,3.51988152250864e-07,-0.422385782701034,-1.48674791189972e-07,healthy,1,1.6,7.2,1,101,1200000
0.4,-3.28628295154193e-08,-0.719999923072567,-1.31955055019117e-09,8.2637499262918e-08,8.2185804221573e-07,-0.986229650658874,-8.10540769865606e-07,healthy,1,1.6,7.2,1,101,1200000
0.5,-8.91153914858929e-08,-0.719999816159977,-3.47710982481811e-09,1.97481553755619e-07,1.51015655547429e-06,-1.81218786656915,-2.73668738645037e-06,healthy,1,1.6,7.2,1,101,1200000
0.6,-2.02117724162032e-07,-0.719999637106145,-7.64205130689332e-09,3.89694894323362e-07,2.35408689631588e-06,-2.82490427557905,-6.65007013848734e-06,healthy,1,1.6,7.2,1,101,1200000
0.7,-4.04771994775951e-07,-0.719999376269712,-1.47997051781411e-08,6.69346028408095e-07,3.23494511827959e-06,-3.8819341419355,-1.25578439019371e-05,healthy,1,1.6,7.2,1,101,1200000
0.8,-7.40082411088723e-07,-0.71999903704371,-2.61348994558356e-08,1.03230907139897e-06,3.98983213468766e-06,-4.78779856162518,-1.91025125555835e-05,healthy,1,1.6,7.2,1,101,1200000
0.9,-1.26292172614891e-06,-0.719998639530452,-4.30595219704349e-08,1.45637729563353e-06,4.42157715917507e-06,-5.30589259101006,-2.34604134894463e-05,healthy,1,1.6,7.2,1,101,1200000
1,-2.042082908624e-06,-0.719998223509677,-6.72596852552317e-08,1.89821028560519e-06,4.30560356606081e-06,-5.16672427927296,-2.22458664816906e-05,healthy,1,1.6,7.2,1,101,1200000
1.1,-3.16235720535357e-06,-0.719997850885829,-1.00751702795758e-07,2.29087991210629e-06,3.39555118572045e-06,-4.07466142286454,-1.38357214258171e-05,healthy,1,1.6,7.2,1,101,1200000
1.2,-4.72631513084243e-06,-0.719997607583192,-1.4593276968152e-07,2.5420074215053e-06,1.42988640330703e-06,-1.71586368396843,-2.45349015163478e-06,healthy,1,1.6,7.2,1,101,1200000
1.3,-6.8554706703139e-06,-0.719997604702748,-2.05612709235157e-07,2.53266105032534e-06,-1.85937487611962e-06,2.2312498513435,-4.14872991593374e-06,healthy,1,1.6,7.2,1,101,1200000
1.4,-9.69055058677758e-06,-0.719997978726575,-2.83015739155196e-07,2.11722947918429e-06,-6.73597818756616e-06,8.0831738250794,-5.44480825720406e-05,healthy,1,1.6,7.2,1,101,1200000
1.5,-1.33906460959874e-05,-0.719998890618832,-3.81744546005354e-07,1.12442917069761e-06,-1.34476301392525e-05,16.1371561671029,-0.000217006507634556,healthy,1,1.6,7.2,1,101,1200000
1.6,-1.81310833984644e-05,-0.720000523764497,-5.05702356019416e-07,-6.40492080518742e-07,-2.22140390384445e-05,26.6568468461334,-0.000592156236481844,healthy,1,1.6,7.2,1,101,1200000
1.7,-2.409991383643e-05,-0.720003080764933,-6.58972043438546e-07,-3.3923790653163e-06,-3.32155294404778e-05,39.8586353285733,-0.0013239256752135,healthy,1,1.6,7.2,1,101,1200000
1.8,-3.14929985469466e-05,-0.720006779162716,-8.45654722091852e-07,-7.36170453192013e-06,-4.65827187338012e-05,55.8992624805613,-0.00260393962155891,healthy,1,1.6,7.2,1,101,1200000
1.9,-4.05077482550017e-05,-0.720011846205786,-1.06967371570708e-06,-1.27891405918154e-05,-6.23876069541989e-05,74.8651283450385,-0.00467065620176592,healthy,1,1.6,7.2,1,101,1200000
2,-5.13356724739519e-05,-0.720018512793708,-1.33455306825164e-06,-1.99193230526664e-05,-8.0636391159237e-05,96.763669391084,-0.00780267309502253,healthy,1,1.6,7.2,1,101,1200000
2.1,-6.41539852885079e-05,-0.720027006782022,-1.64318244493089e-06,-2.89939960440033e-05,-0.000101264302919079,121.517163502895,-0.0123053508548244,healthy,1,1.6,7.2,1,101,1200000
2.2,-7.91165966465471e-05,-0.720037545852243,-1.99758198180705e-06,-4.02447524385637e-05,-0.00012413272453973,148.959269447676,-0.0184907199619878,healthy,1,1.6,7.2,1,101,1200000
