time_s,surge_m,heave_m,pitch_rad,relDisp_m,relVel_mps,ptoForce_N,ptoPower_W,faultName,severity,Hs,Tp,runID,phaseSeed,Bfault_NsPm
0,8.18908806427497e-23,-0.719999999999999,6.47852441355353e-20,0,0,-8.83785833034838e-25,-0,pto_damping_loss,0.6,1.6,7.2,2,101,720000
0.1,-7.99539491695037e-11,-0.719999999737755,-3.45272787948728e-12,2.81343747531766e-10,1.10132028475507e-08,-0.0079295060502364,-8.7329258612134e-11,pto_damping_loss,0.6,1.6,7.2,2,101,720000
0.2,-1.57106801204923e-09,-0.7199999953895,-6.61659135728095e-11,4.95243717765244e-09,1.01191443892432e-07,-0.0728578396025509,-7.37258998826536e-09,pto_damping_loss,0.6,1.6,7.2,2,101,720000
0.3,-9.18785739513967e-09,-0.719999975625932,-3.7842614901279e-10,2.62017780683255e-08,3.57124395725854e-07,-0.257129564922614,-9.18272404962401e-08,pto_damping_loss,0.6,1.6,7.2,2,101,720000
0.4,-3.28628280694776e-08,-0.71999992192637,-1.31955047843807e-09,8.39844342236127e-08,8.39709803372012e-07,-0.604591058427844,-5.07681038792921e-07,pto_damping_loss,0.6,1.6,7.2,2,101,720000
0.5,-8.91153852753667e-08,-0.719999812459911,-3.4771095174757e-09,2.01843906717118e-07,1.55559233629073e-06,-1.12002648212932,-1.74230461204304e-06,pto_damping_loss,0.6,1.6,7.2,2,101,720000
0.6,-2.02117704457793e-07,-0.719999627699028,-7.64205033471353e-09,4.00823302734106e-07,2.44781558435433e-06,-1.76242722073511,-4.31409681720569e-06,pto_damping_loss,0.6,1.6,7.2,2,101,720000
0.7,-4.04771944486603e-07,-0.719999356139027,-1.4799702704746e-08,6.9324195821185e-07,3.40062976367201e-06,-2.44845342984385,-8.32628360849181e-06,pto_damping_loss,0.6,1.6,7.2,2,101,720000
0.8,-7.40082302305556e-07,-0.719998999277504,-2.61348941226071e-08,1.07729503089141e-06,4.2493048918723e-06,-3.05949952214805,-1.30007462861447e-05,pto_damping_loss,0.6,1.6,7.2,2,101,720000
0.9,-1.26292151973339e-06,-0.719998575747535,-4.30595118824081e-08,1.53262349495036e-06,4.78889211575802e-06,-3.44800232334577,-1.65121111413859e-05,pto_damping_loss,0.6,1.6,7.2,2,101,720000
