time_s,surge_m,heave_m,pitch_rad,relDisp_m,relVel_mps,ptoForce_N
100,-0.0263860162277807,-0.357743877616106,-0.000304829740458705,0.195935697128107,0.166693675807958,-120019.44658173
100.2,0.0133838851488612,-0.473377613146008,0.00100120623301762,0.311888660584098,0.174713496111971,-125793.717200619
100.4,0.0763777219453221,-0.39755869401979,0.0026960838451835,0.310618601062931,0.0716123969922079,-51560.9258343894
100.6,0.128528707621389,-0.414322950137937,0.00414611148248678,0.332231131266065,0.00142929632425904,-1029.09335346647
100.8,0.178999750691258,-0.40443409756818,0.00546241954327626,0.314447116986654,-0.0906031239147786,65234.2492186405
101,0.217868764869449,-0.438652304126045,0.00645219419036009,0.294421040995642,-0.165607960261054,119237.731387959
101.2,0.246932416201087,-0.470990823336949,0.00711942544280077,0.249965321474216,-0.24136424676949,173782.257674032
101.4,0.261299373029262,-0.52800972873801,0.00737248903167968,0.197821064167876,-0.299981700640712,215986.824461312
101.6,0.261460760721472,-0.589503528813275,0.0072188679886489,0.131635059942023,-0.346558304397788,249521.979166407
101.8,0.246106393159431,-0.662324465960042,0.00664818540347938,0.0599807491916936,-0.373350896156488,268812.645232671
102,0.216605173131273,-0.737318006851495,0.00570388177011695,-0.0160856863183151,-0.38128413718014,274524.5787697
102.2,0.174518588197321,-0.812724748658805,0.00443867697718591,-0.0914170070411976,-0.368704514039511,265467.250108448
102.4,0.122589685249076,-0.883972751056376,0.00292928547289573,-0.162267540381799,-0.336690169588029,242416.922103381
102.6,0.0640557739591438,-0.947283632772989,0.0012615963402628,-0.22493858627095,-0.287327868548905,206876.065355211
102.8,0.00238927390526206,-0.99938224348492,-0.000475386456484693,-0.276264322014466,-0.223823891695107,161153.202020477
103,-0.0590381171100451,-1.03770087301202,-0.0021965132062155,-0.313809689392677,-0.150227115525738,108163.523178531
103.2,-0.117244696102696,-1.06052371557921,-0.00382616400756246,-0.336004191041671,-0.0710716917892169,51171.6180882361
103.4,-0.169841500550327,-1.06705827142232,-0.005302089575902,-0.342199892730108,0.00901561794519662,-6491.24492054129
