time_s,surge_m,heave_m,pitch_rad,relDisp_m,relVel_mps,ptoForce_N
100,-0.0892744726958928,-0.521444854282109,-0.00198897096611604,0.0172174869770161,0.0542124479513829,-52043.9500333274
100.2,-0.114240373113037,-0.726497193659074,-0.00243983422366463,0.035785746033399,0.0620456858420739,-59563.8584083909
100.4,-0.0881181742063131,-0.641972640380401,-0.00176036996166719,0.0432891248379129,0.0346069500158254,-33222.6720151924
100.6,-0.0833300986340656,-0.670834051896739,-0.00159407213461618,0.0497826619236605,0.0183207221254844,-17587.893240465
100.8,-0.0707413047695425,-0.641201474363228,-0.00128571410259161,0.0504825584804733,-0.0034963977439785,3356.5418342194
101,-0.0687814279737224,-0.654796318558285,-0.001248738724984,0.0487739961084816,-0.0176960147367986,16988.1741473266
101.2,-0.0662158818142482,-0.646325073087194,-0.00122707203362079,0.0436536354553592,-0.0295184828433275,28337.7435295944
101.4,-0.0697227812970751,-0.655667523284605,-0.00136575052256365,0.0374578498656324,-0.0331738040339462,31846.8518725883
101.6,-0.0738933312796767,-0.656364996471946,-0.00153553405352508,0.0308459430857183,-0.0306869318909206,29459.4546152836
101.8,-0.0798606149489906,-0.661620672888484,-0.00175224186417254,0.0256720360784957,-0.0204580123534078,19639.6918592715
102,-0.0845558013757417,-0.662412755825201,-0.00193505882790506,0.0230989078835726,-0.00408372369036596,3920.3747427513
102.2,-0.086720674393766,-0.66082674832556,-0.00204326602387298,0.0243563007705312,0.0173289768964344,-16635.817820577
102.4,-0.0844683413297495,-0.655293989269047,-0.00202251155564599,0.0302223180979951,0.0416253316987051,-39960.3184307568
102.6,-0.0763199031607292,-0.645425278215348,-0.00182990102533386,0.04103006030527,0.0663154906571794,-63662.8710308921
102.8,-0.0612367639366766,-0.631336978663173,-0.00143580854149393,0.0565913228147849,0.0887156033335354,-85166.9792001937
103,-0.0387409187815551,-0.613673500851146,-0.000827069010881851,0.0761823055622606,0.106194321210695,-101946.548362268
103.2,-0.00897719636709427,-0.593580064976395,-8.24727702144513e-06,0.0985785007520907,0.116413976769498,-111757.417698718
103.4,0.027284180421391,-0.572628261686889,0.000998774448170673,0.122135322517951,0.117543426978332,-112841.689899198
103.6,0.0686971103212043,-0.552701438828399,0.00215637396393618,0.144906954945534,0.108425048774696,-104088.046823708
103.8,0.113428007708687,-0.535850161814042,0.0034134181188297,0.164793071414861,0.0886852704252343,-85137.8596082246
104,0.159269273527569,-0.524129740401988,0.00470786427415845,0.179701644031356,0.0587847489228866,-56433.358965971
104.2,0.203767708116244,-0.519432292156409,0.00596976408896572,0.187715823726372,0.0200093098679762,-19208.937473257
104.4,0.244363158237083,-0.523325467966157,0.00712490266485412,0.187253375663213,-0.0255948837004354,24571.0883524179
104.6,0.278536730975226,-0.536909250127978,0.00809928456881035,0.177207876262469,-0.0753384672134888,72324.9285249489
104.8,0.303968260793648,-0.560701386707222,0.00882443058495163,0.157061494360824,-0.126055537689965,121013.316182365
105,0.318699003839501,-0.594560967880811,0.00924308654027762,0.126959781378291,-0.174316143816077,167343.498063435
105.2,0.321289401402932,-0.637658051538875,0.00931463378612135,0.087739991681998,-0.216676741557337,208009.671895044
105.4,0.31095598958279,-0.688494731322295,0.00901936863622593,0.0409067080285375,-0.249953557252127,239955.414962041
105.6,0.287668715938522,-0.74497942446466,0.00836093485635411,-0.0114476277021195,-0.271495777502907,260635.946402791
105.8,0.252191358739476,-0.804551589643186,0.00736649588293773,-0.0667744295882854,-0.279429794491961,268252.602712282
106,0.206053163951622,-0.864349046881773,0.00608460363216491,-0.122244144362796,-0.272844838942245,261931.045384555
106.2,0.151447873769213,-0.921405237303167,0.00458104096603459,-0.174950541164,-0.251894884992052,241819.08959237
106.4,0.0910654179091098,-0.972859825459785,0.00293312367988546,-0.222125577297455,-0.217800642896797,209088.617180925
106.6,0.0278704291353513,-1.01616360152375,0.00122305587437882,-0.261344186603859,-0.172746935250187,165837.05784018
106.8,-0.0351503664295678,-1.04925812068645,-0.000469006692111285,-0.290698627483194,-0.11968310040432,114895.776388147
107,-0.0952436122924032,-1.07071219085178,-0.00207147345291921,-0.308924764449,-0.0620459895539237,59564.1499717665
107.2,-0.150115751317328,-1.07980125457001,-0.00352665815423862,-0.315467635856784,-0.00343540821212355,3297.99188363833
107.4,-0.198098857519621,-1.07652170238171,-0.00479420969422078,-0.310480417628531,0.0527208907644758,-50612.0551338968
107.6,-0.238229941384853,-1.06153964981947,-0.00585208399287796,-0.294758680177995,0.103472721030059,-99333.8121888564
107.8,-0.270229437614309,-1.03608179030123,-0.00669487613356119,-0.269619663037493,0.146586079273826,-140722.636102872
108,-0.294381382199387,-1.0017833991989,-0.00732984434604464,-0.23674305356432,0.18068553691149,-173458.115435029
108.2,-0.311336890878639,-0.960514119145542,-0.00777147737404317,-0.197994399413759,0.205284009380968,-197072.649005729
108.4,-0.321879397370276,-0.914204695622828,-0.00803580885058257,-0.155253976803942,0.220699764672894,-211871.774085978
108.6,-0.326699661489119,-0.864696723595372,-0.00813572562486689,-0.110272237560165,0.227877719229853,-218762.610460658
108.8,-0.326227166053939,-0.813632779189232,-0.00807821418000692,-0.0645679884963697,0.22814702631758,-219021.145264877
109,-0.320551616711705,-0.762396875271961,-0.00786393344437697,-0.0193779955753012,0.222956427728554,-214038.170619412
109.2,-0.309446986856318,-0.712106428080357,-0.00748888506599857,0.0243418985667802,0.21363057219619,-205085.349308342
109.4,-0.29248688858083,-0.663648534524573,-0.00694748428653442,0.0658721919716389,0.201184241196695,-193136.871548827
109.6,-0.269220672677811,-0.617746839906748,-0.00623615468286918,0.10465594745326,0.186218996250941,-178770.236400902
109.8,-0.239369480269606,-0.575041605037941,-0.00535668672533122,0.14021347370163,0.168911298387344,-162154.84645185
110,-0.203001983200064,-0.53616506723998,-0.00431889568277102,0.17206337390829,0.149085934123125,-143122.4967582
110.2,-0.160658683119274,-0.501796522247216,-0.00314241063695723,0.199665337813416,0.126356187871662,-121301.940356795
110.4,-0.113407047942694,-0.472686012647388,-0.00185757835308622,0.222395454394467,0.100304097560634,-96291.9336582084
110.6,-0.0628229093491829,-0.449641209718741,-0.000505435808559681,0.239559068305521,0.0706706439026672,-67843.8181465603
110.8,-0.0109035195607509,-0.43347817141219,0.000863422043241321,0.250440169518692,0.037526260832745,-36025.2103994353
111,0.0400760233769212,-0.424942428447294,0.00219132216730903,0.254380696499938,0.00139559216934845,-1339.76848257431
111.2,0.0877472426907151,-0.424611684149312,0.00341746238355707,0.25087845930487,-0.0366838478958879,35216.4939800522
111.4,0.129854363803018,-0.432794755629331,0.0044831108805148,0.239689063385134,-0.0751816600298373,72174.3936286437
111.6,0.164459021607512,-0.449442714062954,0.00533738856733274,0.220915682605135,-0.112175534387783,107688.513012272
111.8,0.190117906905351,-0.47408710816095,0.00594261053804583,0.195071281301621,-0.1455230423318,139702.120638528
112,0.206008415368314,-0.505816607284787,0.00627809893474594,0.163101245611681,-0.173080946199927,166157.70835193
112.2,0.211983690244241,-0.543297827344525,0.0063416961933029,0.126360145983796,-0.192938538937249,185220.997379759
112.4,0.208550497045662,-0.584839521763169,0.00614882378287057,0.0865435143701964,-0.20362830623713,195483.173987645
112.6,0.196778546175831,-0.628493121077819,0.00572961680794787,0.0455824254993781,-0.204283055577372,196111.733354276
112.8,0.178163575009886,-0.672178130314127,0.0051251376135567,0.00551359930219185,-0.194722008779572,186933.128428389
113,0.154473945140854,-0.713818970857821,0.00438372992864877,-0.0316603643052596,-0.175464371650762,168445.796784732
113.2,0.127608886421478,-0.751480506764632,0.00355819761984408,-0.0641070989193225,-0.1476818741942,141774.599226432
113.4,0.099486299554191,-0.783491974452693,0.0027038560590552,-0.0902864548183852,-0.113107915994974,108583.599355175
