time_s,surge_m,heave_m,pitch_rad,relDisp_m,relVel_mps,ptoForce_N
100,0.0696788274170997,-0.571634153918236,0.00151368408326397,-0.0275837845762487,-0.0962097533112655,92361.3631788144
100.2,0.0802245088917062,-0.835662773216666,0.00159806531672078,-0.0618629809273704,-0.138151315902848,132625.263266733
100.4,0.042729445212857,-0.785129385564983,0.000590908564207936,-0.0844428563473827,-0.120719772814099,115890.981901535
100.6,0.0152720631239523,-0.851001168286094,-0.000210005254218275,-0.110104123969458,-0.115856497400043,111222.237504041
100.8,-0.0244336428857621,-0.845965028855777,-0.00128887510878617,-0.129849972095671,-0.0919963699287271,88316.515131578
101,-0.0600646960015707,-0.878929037059313,-0.00227465636188685,-0.146734432291145,-0.0682435678021852,65513.8250900975
101.2,-0.0983773412322973,-0.87866223896648,-0.00330532159482565,-0.156568394171151,-0.0339514635637251,32593.405021176
101.4,-0.131462903922814,-0.888369060675128,-0.00419506540591508,-0.160144676837879,0.00165764168103826,-1591.3360137968
101.6,-0.160860495007036,-0.880141181277884,-0.00496776245839026,-0.155732071106231,0.040985227901259,-39345.8187852085
101.8,-0.182906032685401,-0.869504003342533,-0.0055337023856011,-0.143802272016301,0.0789283204878,-75771.1876682879
102,-0.197511260762555,-0.848454207410274,-0.00588443703376453,-0.124369720521592,0.114400245176836,-109824.235369762
102.2,-0.203547161224174,-0.821229495025366,-0.00599101191196032,-0.0983789461003152,0.144504866668253,-138724.672001523
102.4,-0.200966139119105,-0.788264190370378,-0.00585177724373443,-0.0670570689582737,0.16741942971164,-160722.652523174
102.6,-0.190100855090492,-0.751146454213382,-0.00547708950058258,-0.0319960212328967,0.181696041817152,-174428.200144465
102.8,-0.171720386919708,-0.711723618377282,-0.00489061384575234,0.00498198080478977,0.18649227920261,-179032.588034505
103,-0.146955266093784,-0.671975287471463,-0.00412716498502554,0.0419510163531446,0.181617192533474,-174352.504832134
103.2,-0.117204607680038,-0.633880197342818,-0.0032296776198441,0.0770118295071577,0.16752348065813,-160822.541431804
103.4,-0.0840325572638382,-0.599287846865562,-0.00224567819298464,0.108415561767649,0.145249907256498,-139439.910966238
103.6,-0.049063247013169,-0.56980480149209,-0.00122376229186856,0.134671640855549,0.116322023786703,-111669.142835234
103.8,-0.0138839548499524,-0.546703525918837,-0.000210549673596117,0.154632583954897,0.0826226526972581,-79317.7465893676
104,0.0200358617834004,-0.530858907211698,0.000751610881354576,0.167551007477643,0.0462457543090378,-44395.9241366761
104.2,0.0514062464783631,-0.522714705967318,0.00162619506586926,0.17310691619825,0.00934748869145671,-8973.58914379848
104.4,0.0791605777631986,-0.522279510406274,0.00238355044987716,0.171405932642048,-0.0259938154107945,24954.0627943627
104.6,0.102486241471805,-0.529149756151098,0.00300173708270518,0.16295111071428,-0.0579008389924215,55584.8054327245
104.8,0.120846936706425,-0.542556158208634,0.00346733355241439,0.148592157728567,-0.0847996373873809,81407.6518918855
105,0.133998417870802,-0.561429338423526,0.00377613698134528,0.129456385474484,-0.105499861002398,101279.866562301
105.2,0.141995047242501,-0.584480181229518,0.00393346365539126,0.10686589291943,-0.119251986474785,114481.907015793
105.4,0.145181148467709,-0.610290162196933,0.00395368814649886,0.0822457528827442,-0.125779537285128,120748.355793722
105.6,0.144160836183324,-0.637406393622629,0.0038587957084028,0.057028524843701,-0.125282941069408,120271.623426632
105.8,0.139743290878228,-0.664435510817963,0.00367601007373304,0.0325611092579125,-0.11841178885347,113675.31729933
106,0.13286614337178,-0.690130083653459,0.00343486048550775,0.0100204121335156,-0.106204556320952,101956.374068113
106.2,0.124505388032793,-0.713461326919504,0.00316422210464984,-0.00965589839893886,-0.0899987691024814,86398.8183383819
106.4,0.115583731998577,-0.73367271017081,0.0028898243933819,-0.025818281190179,-0.0713187330010982,68465.9836810541
106.6,0.106889296926,-0.7503106061838,0.00263250289941455,-0.0381303423257317,-0.051750906110666,49680.8698662393
106.8,0.099013533371528,-0.763230128497471,0.00240719291889685,-0.0465686281439546,-0.0328180800946993,31505.3568909112
107,0.0923128144920366,-0.772576465039111,0.00222247541267014,-0.0513980310156951,-0.0158629655738087,15228.4469508564
107.2,0.0868945198022617,-0.778744043701323,0.00208047651587106,-0.0531256273452762,-0.00195030605790892,1872.2938155926
107.4,0.0826267764944969,-0.782317634704094,0.00197707436836685,-0.0524374311277415,0.00820493456857573,-7876.73718583269
107.6,0.079171149352645,-0.784000995497057,0.00190256246250684,-0.0501239177571393,0.0142771070220296,-13706.0227411483
107.8,0.0760378218427134,-0.784539906684687,0.00184300251477577,-0.047001279844693,0.0163323358293658,-15679.0423961911
108,0.0726611534615825,-0.784647329635135,0.00178237011925985,-0.0438361305864077,0.0147913919412198,-14199.736263571
108.2,0.0684888892328424,-0.784938657147007,0.00170527113991369,-0.0412815032689263,0.0103545055357207,-9940.32531429182
108.4,0.0630717132210441,-0.785884231096569,0.00159963054484906,-0.0398311157699222,0.00389569595935734,-3739.86812098304
108.6,0.0561342595835706,-0.787784147405815,0.00145853675108979,-0.0397966444781335,-0.00365868029952514,3512.33308754412
108.8,0.0476078737840998,-0.790766870997911,0.00128053096039602,-0.0413091758925913,-0.0114465360854793,10988.6746420601
109,0.0376119234829958,-0.794808861076908,0.00106809227791405,-0.0443416061613641,-0.0187593658256636,18008.9911926371
109.2,0.0263839770290446,-0.799768264055799,0.000824741195674492,-0.0487445980811883,-0.0250862155466853,24082.7669248179
109.4,0.0141759828694176,-0.805422987458754,0.000551795401789798,-0.0542860630491832,-0.0301048188630744,28900.6261085513
109.6,0.00114767308272468,-0.81150312428554,0.000246081539277904,-0.0606840186581831,-0.0336264862115922,32281.4267631284
109.8,-0.0127062252849567,-0.817710115216346,-0.000100324940660315,-0.0676253724991755,-0.0355146556776458,34094.0694505399
110,-0.0275651538202753,-0.823719716033719,-0.00049794502814584,-0.0747681015875152,-0.0356052370374967,34181.0275559968
110.2,-0.0437164121546453,-0.82917150033647,-0.000955831332197089,-0.0817300857310145,-0.0336570316144676,32310.7503498887
110.4,-0.061425396895594,-0.833652584384252,-0.00147684686857281,-0.0880727879554422,-0.0293519343614022,28177.856986946
110.6,-0.0807762622606074,-0.836685957949222,-0.00205384493941706,-0.0932904787826555,-0.0223494837046665,21455.5043564798
110.8,-0.101529041927948,-0.837733356840829,-0.00266804164330323,-0.0968148972736081,-0.012383321504967,11887.9886447683
111,-0.123037290828611,-0.836219120758109,-0.00329014391500634,-0.0980413314228836,0.000626027074011336,-600.985991050863
111.2,-0.144254620822264,-0.831575994276638,-0.00388389643182666,-0.0963763259481126,0.0164726645184952,-15813.7579377553
111.4,-0.163834274699753,-0.823307958951526,-0.00441098997127851,-0.0913013695012582,0.0346076850414325,-33223.3776397751
111.6,-0.18030098470892,-0.811060534781841,-0.00483599041520324,-0.0824425911535045,0.0541382756617358,-51972.7446352663
111.8,-0.192256468904288,-0.794686660826116,-0.00513016455404692,-0.0696346335032659,0.0738862204617803,-70930.771643309
112,-0.198573865914966,-0.774296606041512,-0.00527364956462065,-0.0529675837629235,0.0924964395445117,-88796.581962731
112.2,-0.198542804767965,-0.750283001563203,-0.00525606041862939,-0.0328086403597182,0.108577665506637,-104234.558886371
112.4,-0.191942276212268,-0.723316172312131,-0.00507607744342612,-0.00979425545438748,0.1208532821556,-116019.150869376
112.6,-0.179037266444531,-0.694309467799692,-0.00474065073815988,0.0152070734220505,0.128300643720959,-123168.61797212
112.8,-0.16051136165922,-0.664358375812096,-0.00426422329214059,0.0411571851757982,0.130260981488096,-125050.542228572
113,-0.137357244393683,-0.634660299637225,-0.00366798347864214,0.0669286171446398,0.126507828185334,-121447.51505792
113.2,-0.110749112415813,-0.606423801176626,-0.00297883733876206,0.0913939695128623,0.117268128410498,-112577.403274077
113.4,-0.081917191845701,-0.580776930557372,-0.0022277118721731,0.113514690905557,0.103195633423147,-99067.808086221
113.6,-0.0520378098954198,-0.558684146039437,-0.00144700018298505,0.132420062298114,0.0853003710827673,-81888.3562394564
113.8,-0.0221460042018618,-0.540880403681755,-0.000667335855028381,0.14746825402623,0.0648412913029951,-62247.6396508752
114,0.00692676390958707,-0.527829305484027,8.57457874153236e-05,0.158283059941141,0.0431923036002814,-41464.6114562701
114.2,0.0345892318396764,-0.519709747155346,0.000794510775350342,0.164762280930855,0.0216951952439134,-20827.3874341567
114.4,0.060501130258809,-0.516432389672769,0.00145041761995652,0.167056736920898,0.00151588498141237,-1455.24958215586
114.6,0.0845579340769479,-0.517683746202958,0.00205382242970104,0.16552236315053,-0.0164780208925471,15818.9000568453
114.8,0.10684978348447,-0.522992155675937,0.00261203293600676,0.160651380000184,-0.0318014978509691,30529.4379369304
115,0.127596185533924,-0.531806926191801,0.0031361153686595,0.152991537118387,-0.0443854373062093,42610.0198139608
115.2,0.147060595961991,-0.543579960895626,0.00363708394062806,0.143064361152427,-0.0545528389507949,52370.7253927629
115.4,0.165452443785655,-0.55783857032729,0.0041221593447086,0.131293808472567,-0.0629394461272215,60421.8682821325
115.6,0.182828193002639,-0.574239082570259,0.00459171043470355,0.117955621145355,-0.070368182406342,67553.4551100882
115.8,0.199006777411225,-0.592593249309411,0.00503735614752387,0.103155111487716,-0.077693541768752,74585.8000980017
116,0.213516813019834,-0.612863099341836,0.00544154580548972,0.0868373255672316,-0.0856372083822857,82211.720046994
116.2,0.225591746847041,-0.635124423913024,0.00577875831664389,0.0688289561577831,-0.0946389942439139,90853.4344741571
116.4,0.234223297240757,-0.659503922372695,0.00601824347222239,0.0489065249296397,-0.104746948543315,100557.070601582
116.6,0.238273155810419,-0.68609946054491,0.00612796413989268,0.0268809167504919,-0.115566480886668,110943.8216512
116.8,0.236629721943226,-0.714896083649153,0.00607912516419748,0.0026851263667739,-0.126280209337423,121229.000963926
117,0.228384079932896,-0.745691646263546,0.00585047976884698,-0.0235491469332094,-0.13573859974951,130309.05575953
117.2,0.21299168690086,-0.778044738608426,0.00543158687101576,-0.0514391193090885,-0.142608288925534,136903.957368513
117.4,0.190386661234929,-0.811254066521985,0.00482440946498493,-0.0803319920278725,-0.14555349554531,139731.355723497
117.6,0.161025109774852,-0.844373228515082,0.00404306208559944,-0.109323042832749,-0.143419574326191,137682.791353143
117.8,0.125850421116885,-0.876259040739722,0.00311200525154429,-0.137308090841424,-0.135388722346838,129973.173452964
118,0.0861920359151244,-0.905646464947705,0.00206336614961486,-0.163062382791873,-0.121085773847456,116242.342893557
118.2,0.0436240415168616,-0.931239841641913,0.000934184956587089,-0.185334707133965,-0.100624096953218,96599.1330750888
118.4,-0.000183626237534214,-0.951809020377208,-0.000235803487144035,-0.202944795336786,-0.0745937964937388,71610.044633989
118.6,-0.0435922441204307,-0.96627995449328,-0.00140565461098453,-0.214873471124278,-0.0440032792412506,42243.1480716005
118.8,-0.0850823299132017,-0.97381170746753,-0.00253420987080639,-0.220337695484443,-0.0101891651163052,9781.59851165294
119,-0.123300629983754,-0.97385470306816,-0.00358111177912894,-0.218845662529484,0.025290965920361,-24279.3272835465
