time_s,surge_m,heave_m,pitch_rad,relDisp_m,relVel_mps,ptoForce_N
100,-0.432243330810134,-0.758466600021164,-0.0121862543179013,-0.188877644562402,0.0358968319317965,-34460.9586545246
100.2,-0.659869278099996,-1.05427459130823,-0.0185676400524745,-0.255786264547989,0.0997956302576339,-95803.8050473286
100.4,-0.645174835458837,-0.912493419476122,-0.0180982018812856,-0.204538299011259,0.157246165971853,-150956.319332979
100.6,-0.705007871384845,-0.916912600790456,-0.0197162667840358,-0.180665022325032,0.221770423989112,-212899.607029547
100.8,-0.698256829906835,-0.817601361220644,-0.0194423244748241,-0.121637753597254,0.280650019375865,-269424.01860083
101,-0.70538215311111,-0.763980549986977,-0.0195504332872472,-0.0655345193870392,0.33487137557501,-321476.520552009
101.2,-0.673171430856725,-0.663971174835528,-0.0185472703976738,0.00942824035057385,0.377260715883691,-362170.287248342
101.4,-0.634617111285423,-0.579715873196898,-0.0173733502522025,0.0858984464933604,0.40668303375736,-390415.712407065
101.6,-0.570371882971021,-0.477809500230094,-0.0154929741969926,0.170044522902868,0.419576789987901,-402793.718388384
101.8,-0.494035294564175,-0.383073513588211,-0.0132978395847143,0.253199346314237,0.415432799318676,-398815.487345928
102,-0.402066755526952,-0.288110553073712,-0.0106923084976361,0.334677073991665,0.393838484416196,-378084.945039547
102.2,-0.300139866513334,-0.201301733849755,-0.00783611666273108,0.409919721174948,0.355994061052754,-341754.298610643
102.4,-0.191029857767941,-0.124931843114324,-0.00480304216707053,0.476133888004666,0.303946882896849,-291789.007580974
102.6,-0.0780526946380291,-0.0618504163492584,-0.00167939046056925,0.530751594041955,0.240528905620087,-230907.749395283
102.8,0.0357152676832262,-0.014257446113442,0.00145613856579796,0.571824048798214,0.16905067047611,-162288.643657066
103,0.147574610544038,0.0163730911993909,0.0045346256064465,0.598086469716199,0.0929916324176615,-89271.967120955
103.2,0.255258223343957,0.0293065146005772,0.00749751567660324,0.608962003299433,0.0157070343552649,-15078.7529810541
103.4,0.356913348562898,0.0245043443976249,0.0102960738285816,0.604511573079283,-0.0598149164580187,57422.3197996978
103.6,0.451031321143173,0.0025372974172233,0.0128901619383907,0.585342223534931,-0.131122505806185,125877.605573937
103.8,0.536351746666102,-0.0355298866788179,0.0152466659950983,0.552489859842637,-0.196386466114209,188531.007469641
104,0.611766899501274,-0.0882652144787303,0.0173377750148419,0.507293056368777,-0.254404525105375,244228.344101159
