time_s,surge_m,heave_m,pitch_rad,relDisp_m,relVel_mps,ptoForce_N
100,0.248678286695465,-0.761373951639368,0.00611823041626789,-0.196546790068228,-0.180267119994198,86528.2175972148
100.2,0.305154551975646,-1.12935360402632,0.00739764178557496,-0.31842685333433,-0.221473719680986,106307.385446873
100.4,0.210410055034338,-1.07290313997333,0.00494177735635061,-0.329865660089183,-0.152324758703731,73115.8841777906
100.6,0.166462117185181,-1.16268796907136,0.00374916900057731,-0.37131319987816,-0.119172657305023,57202.8755064108
100.8,0.0902979628324963,-1.15183287280191,0.00177290784761284,-0.380607017904164,-0.0620222441925124,29770.6772124057
101,0.0337227784216083,-1.18648764964276,0.000293543772225235,-0.394352493453811,-0.0186732789402923,8963.17389134038
101.2,-0.0334507961578352,-1.17399323664716,-0.00143286553845251,-0.389349248065509,0.0324070440044166,-15555.3811221201
101.4,-0.0897305754760733,-1.1734226891009,-0.00287477231753718,-0.380741282489992,0.0752543899159226,-36122.1071596429
101.6,-0.146327217827106,-1.14931950912183,-0.00430772124004406,-0.360127219320318,0.117598076890004,-56447.0769072017
101.8,-0.195059208184158,-1.12345320193726,-0.00552821929570241,-0.333614039108113,0.153156789602487,-73515.2590091933
102,-0.238939073560498,-1.08597425713158,-0.00660935804970796,-0.299545831737246,0.183840481987216,-88243.4313538633
102.2,-0.275739722245866,-1.04274851290499,-0.00749539125049751,-0.260267799990299,0.207873030986969,-99779.054873745
102.4,-0.30541241120239,-0.994152685147865,-0.00818572426123725,-0.216850816794502,0.2251796910593,-108086.251708464
102.6,-0.327697160277549,-0.941664036910681,-0.00867609215621764,-0.170654451762937,0.235656396498764,-113115.070319406
102.8,-0.342502270853198,-0.886780635497212,-0.00896796437376643,-0.123035658786283,0.239430704108869,-114926.737972257
103,-0.349905150083153,-0.830973665654396,-0.00906817386406876,-0.0753044994381358,0.23684035081736,-113683.368392332
103.2,-0.350151407738586,-0.775643877002277,-0.0089882448395033,-0.0286846474459651,0.228407236883638,-109635.473704146
103.4,-0.343648624834866,-0.722083061342417,-0.00874353013677645,0.0157206146166734,0.214808786132669,-103108.217343681
103.6,-0.330952524248082,-0.671441154238849,-0.0083523019264536,0.0569565318162053,0.196848096952855,-94487.0865373703
103.8,-0.312745032298297,-0.624699317442294,-0.00783490781741569,0.0942390013608689,0.175423766789849,-84203.4080591272
104,-0.289805142747386,-0.582649195438234,-0.00721302444552467,0.126970662767328,0.151499729020174,-72719.8699296834
104.2,-0.262974169861456,-0.545878482659876,-0.00650895138710543,0.154750940110298,0.126074839301816,-60515.9228648718
104.4,-0.233116994420991,-0.514763020188153,-0.00574483469452605,0.177379906529075,0.100151314799035,-48072.6311035365
104.6,-0.201080744086237,-0.489465860132552,-0.00494172268400321,0.19485560791568,0.0747006346822717,-35856.3046474903
104.8,-0.167652570329236,-0.469944025397494,-0.00411843961489262,0.207364189046641,0.0506254585488047,-24300.2201034262
105,-0.133519092172942,-0.455963913653223,-0.00329038703258653,0.215261933282817,0.028716832437086,-13784.0795698012
105.2,-0.0992315020643936,-0.447126265660151,-0.00246849807489258,0.219048328820319,0.00960758028052142,-4611.63853465028
105.4,-0.0651816467993092,-0.442901175441433,-0.00165862557177961,0.219329680717962,-0.00627487098100484,3011.93807088234
105.6,-0.0315947793752394,-0.442672687758446,-0.000861608324660505,0.216773690480014,-0.0187504967820934,9000.2384554048
105.8,0.00145652837174554,-0.445791174611356,-7.41330179948844e-05,0.212056769851898,-0.0279159846427145,13399.6726285029
106,0.0340157648894804,-0.451630128700261,0.000709672195577766,0.205807421264525,-0.0341535113326356,16393.685439665
