time_s,surge_m,heave_m,pitch_rad,relDisp_m,relVel_mps,ptoForce_N,ptoPower_W,faultName,severity,Hs,Tp,runID,phaseSeed,Bfault_NsPm
0,8.18908806427497e-23,-0.719999999999999,6.47852441355353e-20,0,0,-8.83785833034838e-25,-0,healthy,1,1.5,6,106,2,1200000
0.1,-7.24365995815847e-11,-0.719999999860654,-3.29513028078869e-12,1.46465791592569e-10,5.52178544958094e-09,-0.00662614253949705,-3.65881374614441e-11,healthy,1,1.5,6,106,2,1200000
0.2,-1.70903148126562e-09,-0.719999997807534,-7.69331858381974e-11,2.30890211188946e-09,4.48773527284683e-08,-0.0538528232741617,-2.41677214549842e-09,healthy,1,1.5,6,106,2,1200000
0.3,-1.13288067057348e-08,-0.719999989737868,-5.05352495682062e-10,1.08256491958556e-08,1.33244889623228e-07,-0.159893867547873,-2.13050407328473e-08,healthy,1,1.5,6,106,2,1200000
0.4,-4.50495901262785e-08,-0.71999997199201,-1.98768108719821e-09,2.96182957146473e-08,2.42128352155605e-07,-0.290554022586725,-7.0351366701106e-08,healthy,1,1.5,6,106,2,1200000
0.5,-1.33795949293658e-07,-0.71999994634767,-5.82861427565048e-09,5.6971006346651e-08,2.85866554090265e-07,-0.343039864908317,-9.80636240969305e-08,healthy,1,1.5,6,106,2,1200000
0.6,-3.28011857302251e-07,-0.719999925473957,-1.40861951902993e-08,7.9834843563793e-08,1.25164321885095e-07,-0.150197186262112,-1.87993289675465e-08,healthy,1,1.5,6,106,2,1200000
0.7,-7.014890874626e-07,-0.719999937483077,-2.96564253483886e-08,6.91092496610537e-08,-4.18603774913612e-07,0.502324529896332,-2.1027494444631e-07,healthy,1,1.5,6,106,2,1200000
0.8,-1.35407120208948e-06,-0.720000028947837,-5.62908951603462e-08,-2.34193676889181e-08,-1.54594511167959e-06,1.8551341340155,-2.8679355459912e-06,healthy,1,1.5,6,106,2,1200000
0.9,-2.41310037416822e-06,-0.720000266328757,-9.85519056132627e-08,-2.66426703712185e-07,-3.46296730797829e-06,4.15556076957394,-1.43905710913517e-05,healthy,1,1.5,6,106,2,1200000
1,-4.03345684755587e-06,-0.720000735960561,-1.61710488444209e-07,-7.48868790880745e-07,-6.36691095956956e-06,7.64029315148345,-4.86450662005042e-05,healthy,1,1.5,6,106,2,1200000
1.1,-6.39597300227819e-06,-0.720001542693019,-2.51590036250765e-07,-1.57840332844394e-06,-1.0432363991996e-05,12.5188367903952,-0.000130601062153794,healthy,1,1.5,6,106,2,1200000
1.2,-9.70395984106162e-06,-0.720002807166203,-3.74355697646187e-07,-2.87842429222559e-06,-1.57971404442581e-05,18.9565685331096,-0.000299459575458735,healthy,1,1.5,6,106,2,1200000
1.3,-1.41776042047759e-05,-0.72000466165548,-5.36249395015376e-07,-4.78366308062887e-06,-2.25477819212716e-05,27.0573383055259,-0.000610082963483067,healthy,1,1.5,6,106,2,1200000
1.4,-2.00460835468207e-05,-0.720007244472974,-7.43272518758432e-07,-7.43435273345428e-06,-3.0705508124328e-05,36.8466097491935,-0.0011313938750078,healthy,1,1.5,6,106,2,1200000
1.5,-2.75373807933848e-05,-0.720010693019052,-1.00082208318253e-06,-1.09690576442284e-05,-4.02137927842839e-05,48.2565513411405,-0.00194057895611678,healthy,1,1.5,6,106,2,1200000
1.6,-3.68659369930872e-05,-0.720015135691124,-1.31329014241627e-06,-1.55163875161774e-05,-5.09286437831524e-05,61.1143725397828,-0.00311247210910947,healthy,1,1.5,6,106,2,1200000
1.7,-4.82184317969398e-05,-0.720020682947261,-1.68363963834575e-06,-2.11859085669178e-05,-6.26123783599863e-05,75.1348540319833,-0.00470437190867288,healthy,1,1.5,6,106,2,1200000
1.8,-6.17381186118882e-05,-0.720027417885547,-2.11297220272504e-06,-2.80586296242142e-05,-7.4931411583785e-05,89.9176939005416,-0.00673765973032628,healthy,1,1.5,6,106,2,1200000
1.9,-7.75082577538531e-05,-0.720035386742989,-2.60010480789376e-06,-3.61774822999543e-05,-8.74583907197416e-05,104.95006886369,-0.00917876412874435,healthy,1,1.5,6,106,2,1200000
2,-9.55352862562543e-05,-0.72004458974838,-3.14117280193479e-06,-4.5538240991635e-05,-9.9678882970934e-05,119.614659565121,-0.0119230556523998,healthy,1,1.5,6,106,2,1200000
2.1,-0.000115732437023244,-0.720054972783359,-3.72927703035449e-06,-5.60813433284981e-05,-0.000111002703912485,133.203244694982,-0.0147859203310594,healthy,1,1.5,6,106,2,1200000
2.2,-0.000137904571901816,-0.720066420312904,-4.35419260823947e-06,-6.7685073228934e-05,-0.00012077982276044,144.935787312528,-0.0175053187032521,healthy,1,1.5,6,106,2,1200000
2.3,-0.000161735021547846,-0.720078750035992,-5.00215654029876e-06,-8.01605533342149e-05,-0.000128320593954896,153.984712745874,-0.0197594097995246,healthy,1,1.5,6,106,2,1200000
2.4,-0.000186775228293812,-0.720091709676758,-5.65575079682335e-06,-9.3248958334059e-05,-0.000132919858172458,159.50382980695,-0.0212012264359037,healthy,1,1.5,6,106,2,1200000
2.5,-0.000212437965552205,-0.720104976284535,-6.29389659290093e-06,-0.000106621304657479,-0.000133884250064822,160.661100077786,-0.0215099908985038,healthy,1,1.5,6,106,2,1200000
2.6,-0.000237994857578071,-0.720118158339559,-6.89197437729914e-06,-0.000119881096061944,-0.0001305618601036,156.674232124319,-0.0204556791764543,healthy,1,1.5,6,106,2,1200000
2.7,-0.000262578844935509,-0.720130800871068,-7.42208223011002e-06,-0.000132570010914919,-0.000122373232926614,146.847879511936,-0.0179702497642935,healthy,1,1.5,6,106,2,1200000
2.8,-0.000285192130794362,-0.72014239368896,-7.85344272843268e-06,-0.000144176708223048,-0.000108842550279176,130.611060335011,-0.01421604090153,healthy,1,1.5,6,106,2,1200000
2.9,-0.000304719997144857,-0.720152382712385,-8.15296455329663e-06,-0.00015414870906976,-8.96277487504952e-05,107.553298500594,-0.00963976001529825,healthy,1,1.5,6,106,2,1200000
3,-0.000319950694011776,-0.720160184251775,-8.28595989061644e-06,-0.000161907182051601,-6.45482681338635e-05,77.457921760636,-0.00499977470289736,healthy,1,1.5,6,106,2,1200000
3.1,-0.000329601376405797,-0.720165201970239,-8.21701186500998e-06,-0.000166864330304374,-3.36091234125526e-05,40.3309480950628,-0.00135548781187222,healthy,1,1.5,6,106,2,1200000
3.2,-0.000332349794724848,-0.720166846120517,-7.91097791570311e-06,-0.000168442949314619,2.97995055867682e-06,-3.57594067041195,-1.06561263985893e-05,healthy,1,1.5,6,106,2,1200000
3.3,-0.000326871142375714,-0.720164554531713,-7.33410557609002e-06,-0.00016609760508116,4.47914127423163e-05,-53.7496952907794,-0.00240752478654304,healthy,1,1.5,6,106,2,1200000
3.4,-0.000311879144698981,-0.720157814711964,-6.45522729878545e-06,-0.000159336777790697,9.11738344099878e-05,-109.408601291985,-0.00997520169722386,healthy,1,1.5,6,106,2,1200000
3.5,-0.000286170158459944,-0.720146186345278,-5.24699182639118e-06,-0.000147745233321635,0.000141253523481888,-169.504228178265,-0.0239430694752579,healthy,1,1.5,6,106,2,1200000
3.6,-0.000248668769730265,-0.720129323399338,-3.68708237772384e-06,-0.000131005829240068,0.00019394425907589,-232.733110891067,-0.0451372507541948,healthy,1,1.5,6,106,2,1200000
3.7,-0.000198473161258173,-0.720106995030214,-1.75936782897829e-06,-0.000108919937927687,0.000247965207579501,-297.558249095401,-0.0737840930039342,healthy,1,1.5,6,106,2,1200000
3.8,-0.000134898398218166,-0.720079104473051,5.45066880253473e-07,-8.14256797780036e-05,0.000301866741671362,-362.240090005634,-0.109348235672742,healthy,1,1.5,6,106,2,1200000
3.9,-5.75157768809907e-05,-0.720045705145488,3.22706014603801e-06,-4.86132045841208e-05,0.000354063539645804,-424.876247574963,-0.150433188127818,healthy,1,1.5,6,106,2,1200000
4,3.38134936295093e-05,-0.720007013261661,6.27872258326063e-06,-1.07363375603364e-05,0.000402874027644122,-483.448833172945,-0.194768978580235,healthy,1,1.5,6,106,2,1200000
4.1,0.000138911753436902,-0.719963416355412,9.68302190470234e-06,3.17799861521256e-05,0.000446564963668474,-535.877956402168,-0.23930432013147,healthy,1,1.5,6,106,2,1200000
4.2,0.00025726661385124,-0.719915477235883,1.34136148020372e-05,7.83369441533399e-05,0.000483399766671222,-580.079720005465,-0.28041040130135,healthy,1,1.5,6,106,2,1200000
4.3,0.000388021620840535,-0.719863933040365,1.74349209877259e-05,0.000128164006098927,0.000511689076762368,-614.026892114841,-0.314190853533509,healthy,1,1.5,6,106,2,1200000
4.4,0.000529976080756522,-0.719809689199927,2.17024206027114e-05,0.000180326215244465,0.000529841995370996,-635.810394445193,-0.336879048070461,healthy,1,1.5,6,106,2,1200000
4.5,0.000681593833779438,-0.719753808285347,2.61631462397428e-05,0.000233736563933267,0.000536416489887018,-643.69978786442,-0.34529118074725,healthy,1,1.5,6,106,2,1200000
4.6,0.000841020401356415,-0.71969749384828,3.07563364645932e-05,0.000287173307486737,0.000530167540936208,-636.201049123448,-0.337293145754814,healthy,1,1.5,6,106,2,1200000
4.7,0.00100610769079432,-0.719642069509376,3.54142196646149e-05,0.000339301925123066,0.000510091741530728,-612.110089836872,-0.31223230173342,healthy,1,1.5,6,106,2,1200000
4.8,0.0011744453354251,-0.719588953669842,4.00629049533748e-05,0.000388701314736293,0.000475467203294338,-570.560643953204,-0.271282873690246,healthy,1,1.5,6,106,2,1200000
4.9,0.00134339778192903,-0.719539630333664,4.46233692027523e-05,0.000433893701031188,0.000425887765032122,-511.065318038546,-0.217656466084867,healthy,1,1.5,6,106,2,1200000
5,0.00151014638268897,-0.719495616626968,4.90125435516508e-05,0.000473377642225899,0.000361290618035736,-433.548741642881,-0.156637092816772,healthy,1,1.5,6,106,2,1200000
5.1,0.00167173596386887,-0.719458427689759,5.31445157926491e-05,0.000505663436812407,0.000281976554427911,-338.371865313492,-0.0954129326964435,healthy,1,1.5,6,106,2,1200000
5.2,0.00182512555747776,-0.719429539696947,5.69318735579311e-05,0.00052931015610287,0.000188622113768504,-226.346536522204,-0.0426939621629981,healthy,1,1.5,6,106,2,1200000
5.3,0.00196724314092598,-0.719410351841059,6.02872143534327e-05,0.000542963458834909,8.22829636432412e-05,-98.7395563718901,-0.008124583327098,healthy,1,1.5,6,106,2,1200000
5.4,0.0020950442599533,-0.719402148178361,6.31248403916004e-05,0.000545393281196618,-3.5612075280909e-05,42.7344903370921,-0.0015218638869758,healthy,1,1.5,6,106,2,1200000
