time_s,surge_m,heave_m,pitch_rad,relDisp_m,relVel_mps,ptoForce_N,ptoPower_W,faultName,severity,Hs,Tp,runID,phaseSeed,Bfault_NsPm
0,8.18908806427497e-23,-0.719999999999999,6.47852441355353e-20,0,0,-8.83785833034838e-25,-0,pto_damping_loss,0.4,2.2,8.3,434,7,480000
0.1,-1.32730617950597e-10,-0.720000000170007,-5.96528595543628e-12,-1.78942829758847e-10,-7.20243527341329e-09,0.00345716893123833,-2.49000354564994e-11,pto_damping_loss,0.4,2.2,8.3,434,7,480000
0.2,-2.32676417123694e-09,-0.720000003210956,-1.02216796091987e-10,-3.39443651172919e-09,-7.13959153743779e-08,0.0342700393797023,-2.44674083142982e-09,pto_damping_loss,0.4,2.2,8.3,434,7,480000
0.3,-1.22589642836154e-08,-0.720000018078284,-5.26339503741372e-10,-1.9178150038575e-08,-2.73845290907294e-07,0.1314457396355,-3.59957968090081e-08,pto_damping_loss,0.4,2.2,8.3,434,7,480000
0.4,-3.90997722454518e-08,-0.720000061878256,-1.63057579142751e-09,-6.58763121426916e-08,-7.05384808903415e-07,0.33858470827364,-2.3883250974322e-07,pto_damping_loss,0.4,2.2,8.3,434,7,480000
0.5,-9.32534426966288e-08,-0.72000015970503,-3.74600996583339e-09,-1.70642009937275e-07,-1.44827977452894e-06,0.695174291773888,-1.0068068665486e-06,pto_damping_loss,0.4,2.2,8.3,434,7,480000
0.6,-1.82917381397177e-07,-0.720000343137041,-6.9993491999706e-09,-3.67990574835967e-07,-2.5664282853821e-06,1.2318855769834,-3.16154598912446e-06,pto_damping_loss,0.4,2.2,8.3,434,7,480000
0.7,-3.10456255788716e-07,-0.72000064825497,-1.11395288206485e-08,-6.97807240687573e-07,-4.10359492300214e-06,1.96972556304104,-8.08295582020273e-06,pto_damping_loss,0.4,2.2,8.3,434,7,480000
0.8,-4.69342438269527e-07,-0.720001113761484,-1.5415663866352e-08,-1.20342611322102e-06,-6.08567008963928e-06,2.92112164302684,-1.77769826111664e-05,pto_damping_loss,0.4,2.2,8.3,434,7,480000
0.9,-6.41963242797563e-07,-0.720001779381306,-1.85213292210655e-08,-1.92998667003269e-06,-8.52337614304757e-06,4.09122054866281,-3.48710116204186e-05,pto_damping_loss,0.4,2.2,8.3,434,7,480000
1,-7.98232074469084e-07,-0.720002684478395,-1.85984584737628e-08,-2.92301401619456e-06,-1.14139171194506e-05,5.47868021733627,-6.25332019246497e-05,pto_damping_loss,0.4,2.2,8.3,434,7,480000
1.1,-8.94790936471077e-07,-0.720003866786154,-1.32841119263641e-08,-4.22711393263236e-06,-1.47417736266709e-05,7.07605134080199,-0.000104313547036804,pto_damping_loss,0.4,2.2,8.3,434,7,480000
1.2,-8.74630722556772e-07,-0.720005361214444,2.16169378138865e-10,-5.88473642880791e-06,-1.84794602308631e-05,8.87014091081429,-0.000163915416203545,pto_damping_loss,0.4,2.2,8.3,434,7,480000
1.3,-6.67084208865469e-07,-0.72000719877267,2.50388272287598e-08,-7.93503885987568e-06,-2.2588850222656e-05,10.8426481068749,-0.000244922954103162,pto_damping_loss,0.4,2.2,8.3,434,7,480000
