time_s,surge_m,heave_m,pitch_rad,relDisp_m,relVel_mps,ptoForce_N,ptoPower_W,faultName,severity,Hs,Tp,runID,phaseSeed,Bfault_NsPm
0,8.18908806427497e-23,-0.719999999999999,6.47852441355353e-20,0,0,-8.83785833034838e-25,-0,healthy,1,2.2,8.3,446,10,1200000
0.1,-4.05021079696025e-12,-0.719999999918542,-2.81297415952163e-13,9.25804753588182e-11,3.81803584137249e-09,-0.00458164300964693,-1.74928772232057e-11,healthy,1,2.2,8.3,446,10,1200000
0.2,-2.78943154950709e-11,-0.719999998351625,-3.15575753051877e-12,1.86764858578114e-09,4.01666192533896e-08,-0.0481999431040674,-1.93602876269612e-09,healthy,1,2.2,8.3,446,10,1200000
0.3,1.26466717925744e-10,-0.719999990171885,-5.24519975606509e-12,1.11023379838473e-08,1.6397910132036e-07,-0.196774921584432,-3.22669748037994e-08,healthy,1,2.2,8.3,446,10,1200000
0.4,1.59673090701774e-09,-0.71999996435876,3.2768799907889e-11,4.01381497996931e-08,4.50238665550055e-07,-0.540286398660064,-2.43257827147552e-07,healthy,1,2.2,8.3,446,10,1200000
0.5,7.73323248516379e-09,-0.719999902410951,2.40008033895873e-10,1.09536823973097e-07,9.8702006088845e-07,-1.18442407306613,-1.16905032071548e-06,healthy,1,2.2,8.3,446,10,1200000
0.6,2.58583778074002e-08,-0.71999977726664,9.08535919192365e-10,2.49096030720478e-07,1.87017185645932e-06,-2.24420622775119,-4.197051327231e-06,healthy,1,2.2,8.3,446,10,1200000
0.7,6.93773843580952e-08,-0.719999552549542,2.57792660606316e-09,4.98449274814849e-07,3.20017903342351e-06,-3.84021484010821,-1.22893750151561e-05,healthy,1,2.2,8.3,446,10,1200000
0.8,1.60072280705764e-07,-0.719999182034627,6.12230063959318e-09,9.07405101097886e-07,5.07969500390756e-06,-6.09563400468906,-3.0963961599268e-05,healthy,1,2.2,8.3,446,10,1200000
0.9,3.30400741770183e-07,-0.719998609386483,1.28311771829615e-08,1.53600266549402e-06,7.61003183404528e-06,-9.13203820085431,-6.94951014182189e-05,healthy,1,2.2,8.3,446,10,1200000
1,6.25608295767854e-07,-0.71999776833573,2.44759087208543e-08,2.45412482660105e-06,1.08857230772394e-05,-13.0628676926872,-0.000142198760297209,healthy,1,2.2,8.3,446,10,1200000
1.1,1.10543530961948e-06,-0.719996583485148,4.33533349635502e-08,3.74046949779151e-06,1.49871911493013e-05,-17.9846293791615,-0.000269539078254833,healthy,1,2.2,8.3,446,10,1200000
1.2,1.84516251561727e-06,-0.719994971901016,7.22977233376298e-08,5.48071430276782e-06,1.99720740630243e-05,-23.9664888756291,-0.000478660490854712,healthy,1,2.2,8.3,446,10,1200000
1.3,2.93570361735265e-06,-0.719992845587583,1.14651613823464e-07,7.76477415818647e-06,2.5865876499995e-05,-31.0390517999939,-0.00080285228053559,healthy,1,2.2,8.3,446,10,1200000
1.4,4.48243566929884e-06,-0.719990114889296,1.74186490588818e-07,1.06831142780751e-05,3.26525163697679e-05,-39.1830196437213,-0.00127942419033354,healthy,1,2.2,8.3,446,10,1200000
1.5,6.60246910496406e-06,-0.719986692820736,2.54965699465584e-07,1.43221327206524e-05,4.0265240755231e-05,-48.3182889062773,-0.00194554753569206,healthy,1,2.2,8.3,446,10,1200000
1.6,9.42010559583573e-06,-0.719982500281699,3.61144856283854e-07,1.87586722898279e-05,4.85783711802203e-05,-58.2940454162642,-0.0028318297758279,healthy,1,2.2,8.3,446,10,1200000
1.7,1.30603141145418e-05,-0.71997747206656,4.96709011890032e-07,2.40537697303554e-05,5.74003914256544e-05,-68.880469710785,-0.00395376592298199,healthy,1,2.2,8.3,446,10,1200000
1.8,1.76401702884192e-05,-0.719971563520723,6.65150734708073e-07,3.02458046730487e-05,6.64689528556532e-05,-79.7627434267837,-0.00530174603247245,healthy,1,2.2,8.3,446,10,1200000
1.9,2.32583450303932e-05,-0.71996475763564,8.69098617777813e-07,3.73432697778055e-05,7.54483919180616e-05,-90.5380703016737,-0.00683095181162569,healthy,1,2.2,8.3,446,10,1200000
2,2.99828868501545e-05,-0.719957072314472,1.10991104402894e-06,4.53174413838247e-05,8.393031038908e-05,-100.716372466896,-0.00845315640240876,healthy,1,2.2,8.3,446,10,1200000
2.1,3.78377074261491e-05,-0.719948567488043,1.387254865091e-06,5.40952802770537e-05,9.14376639271373e-05,-109.725196712564,-0.0100330156613425,healthy,1,2.2,8.3,446,10,1200000
2.2,4.67883394005978e-05,-0.71993935172166,1.69869248807424e-06,6.3552929497843e-05,9.74326529846487e-05,-116.919183581578,-0.0113917462411523,healthy,1,2.2,8.3,446,10,1200000
2.3,5.67276752202234e-05,-0.719929587930071,2.03930328599593e-06,7.3510196599084e-05,0.000101328527885844,-121.594233463013,-0.0123209646762147,healthy,1,2.2,8.3,446,10,1200000
2.4,6.74625023961462e-05,-0.719919497812977,2.40136590195257e-06,8.3726409051589e-05,0.000102505220142063,-123.006264170475,-0.0126087841876473,healthy,1,2.2,8.3,446,10,1200000
2.5,7.87017114032821e-05,-0.719909364638593,2.77412669300002e-06,9.38980124141761e-05,0.000100328506219498,-120.394207463397,-0.012078970992283,healthy,1,2.2,8.3,446,10,1200000
2.6,9.00470581331055e-05,-0.719899534037726,3.14367622642575e-06,0.000103658241391446,9.41722093363785e-05,-113.006651203654,-0.0106420860135536,healthy,1,2.2,8.3,446,10,1200000
2.7,0.00010098730820554,-0.719890412525455,3.49295057461124e-06,0.000112579135110259,8.34427615235753e-05,-100.13131382829,-0.00835523334081628,healthy,1,2.2,8.3,446,10,1200000
2.8,0.000110896475616147,-0.719882463539157,3.80186753619517e-06,0.000120176092200326,6.7605294408119e-05,-81.1263532897424,-0.00548457099841011,healthy,1,2.2,8.3,446,10,1200000
2.9,0.00011903669880548,-0.719876200867716,4.04760039738167e-06,0.00012591507208235,4.62103138573041e-05,-55.4523766287648,-0.00256247172814866,healthy,1,2.2,8.3,446,10,1200000
3,0.000124566084257665,-0.71987217944223,4.20498411469076e-06,0.000129222450723828,1.89199487756877e-05,-22.7039385308249,-0.000429557354009569,healthy,1,2.2,8.3,446,10,1200000
3.1,0.000126551606563313,-0.719870983559012,4.24704157212526e-06,0.000129497437103283,-1.44672479895217e-05,17.3606975874258,-0.00025116151726838,healthy,1,2.2,8.3,446,10,1200000
3.2,0.000123986902948083,-0.719873212705657,4.14561152750784e-06,0.000126126855995779,-5.39939289229777e-05,64.7927147075734,-0.00349841323264749,healthy,1,2.2,8.3,446,10,1200000
3.3,0.00011581455925251,-0.719879465255435,3.87205558092831e-06,0.000118502008460297,-9.9524906531169e-05,119.429887837403,-0.0118862484240455,healthy,1,2.2,8.3,446,10,1200000
3.4,0.000100952272190501,-0.719890320380141,3.39801934770526e-06,0.000106037237904532,-0.000150732202843398,180.878643412076,-0.0272642363688277,healthy,1,2.2,8.3,446,10,1200000
3.5,7.83221056181443e-05,-0.719906318602916,2.69622313028695e-06,8.81897601545944e-05,-0.000207084809844857,248.501771813829,-0.0514609421621768,healthy,1,2.2,8.3,446,10,1200000
3.6,4.68819482069705e-05,-0.719927941469045,1.74125962054465e-06,6.4480262672966e-05,-0.000267843609123244,321.412330947891,-0.0860882387377977,healthy,1,2.2,8.3,446,10,1200000
3.7,5.65823217581236e-06,-0.719955590852088,5.10380125743328e-07,3.45137417495074e-05,-0.000332061729608157,398.474075529787,-0.132317990724432,healthy,1,2.2,8.3,446,10,1200000
3.8,-4.62210131647363e-05,-0.719989568436905,-1.01574412609117e-06,-1.99997330997673e-06,-0.000398590463060383,478.308555672459,-0.190649228691228,healthy,1,2.2,8.3,446,10,1200000
3.9,-0.000109493630734899,-0.720030055929577,-2.85229366249977e-06,-4.52265647547041e-05,-0.000466090717041637,559.308860449964,-0.260688667814865,healthy,1,2.2,8.3,446,10,1200000
4,-0.000184732075767726,-0.720077096540678,-5.00960862583127e-06,-9.51889874831023e-05,-0.000533049870088369,639.659844106042,-0.340970596801472,healthy,1,2.2,8.3,446,10,1200000
4.1,-0.000272314041196906,-0.720130578274169,-7.49253248372309e-06,-0.000151751176256059,-0.000597803805203592,717.364566244308,-0.428843267419071,healthy,1,2.2,8.3,446,10,1200000
4.2,-0.000372395446038584,-0.720190219532462,-1.02997897107467e-05,-0.000214604202823762,-0.000658563832909589,790.276599491505,-0.520447586419881,healthy,1,2.2,8.3,446,10,1200000
4.3,-0.000484886144118175,-0.720255557520257,-1.34233964146689e-05,-0.000283255355408723,-0.000713448167615329,856.137801138393,-0.610809945448404,healthy,1,2.2,8.3,446,10,1200000
4.4,-0.000609428624198343,-0.720325939898071,-1.68481062436824e-05,-0.000357020577389015,-0.000760517581893867,912.621098272638,-0.694064390843632,healthy,1,2.2,8.3,446,10,1200000
4.5,-0.000745379933010475,-0.720400520099602,-2.05508995447313e-05,-0.000435020662494061,-0.00079781482194584,957.377786335006,-0.763810188139766,healthy,1,2.2,8.3,446,10,1200000
4.6,-0.000891797065914697,-0.720478256686288,-2.45005310675828e-05,-0.000516181559623313,-0.000823407313782703,988.088776539242,-0.813599525269015,healthy,1,2.2,8.3,446,10,1200000
4.7,-0.00104742613415473,-0.720557917064546,-2.86571596492554e-05,-0.000599239089837031,-0.000835432615002154,1002.51913800258,-0.837537185051204,healthy,1,2.2,8.3,446,10,1200000
4.8,-0.00121069572313216,-0.72063808583454,-3.29720911836882e-05,-0.000682748318763363,-0.000832145966246385,998.57515949566,-0.830960290968154,healthy,1,2.2,8.3,446,10,1200000
4.9,-0.00137971498566141,-0.720717177971299,-3.73876726035679e-05,-0.000765097756925565,-0.000811969168760918,974.363002513099,-0.791152717221954,healthy,1,2.2,8.3,446,10,1200000
5,-0.0015522771449388,-0.720793456956283,-4.1837378438265e-05,-0.00084452847579815,-0.000773539864177508,928.247837013007,-0.718036705766106,healthy,1,2.2,8.3,446,10,1200000
5.1,-0.00172586918783557,-0.720865057879234,-4.62461318081581e-05,-0.000919158126918816,-0.000715760129172873,858.912155007446,-0.61477507501628,healthy,1,2.2,8.3,446,10,1200000
5.2,-0.00189768858365508,-0.720930015414257,-5.05308978235255e-05,-0.000987009734458046,-0.000637843134921538,765.411761905843,-0.488212637719841,healthy,1,2.2,8.3,446,10,1200000
5.3,-0.00206466784310743,-0.720986296442543,-5.46015790351641e-05,-0.00104604499919793,-0.000539356476600833,647.227771920997,-0.349086490621517,healthy,1,2.2,8.3,446,10,1200000
5.4,-0.00222350761934385,-0.721031836948274,-5.83622300590237e-05,-0.0010942017066435,-0.000420260670550888,504.312804661064,-0.211942837454258,healthy,1,2.2,8.3,446,10,1200000
5.5,-0.00237071883841827,-0.721064582659658,-6.17125924676477e-05,-0.00112943467862683,-0.000280941264683197,337.129517619835,-0.0947135930421528,healthy,1,2.2,8.3,446,10,1200000
5.6,-0.00250267403183358,-0.721082532748735,-6.45499326357459e-05,-0.00114975955266427,-0.000122233027468288,146.679632961946,-0.017929095604876,healthy,1,2.2,8.3,446,10,1200000
5.7,-0.00261566764134072,-0.721083785750444,-6.67711459082933e-05,-0.00115329852429404,5.4565215998509e-05,-65.4782591982111,-0.00357283535635675,healthy,1,2.2,8.3,446,10,1200000
5.8,-0.00270598459903693,-0.721066586721012,-6.82750718855901e-05,-0.00113832705332729,0.000247686340273436,-297.223608328123,-0.0736182277896578,healthy,1,2.2,8.3,446,10,1200000
5.9,-0.00276997598626367,-0.721029374537757,-6.89649494785279e-05,-0.00110332042426246,0.000454902228284572,-545.882673941487,-0.248323244757923,healthy,1,2.2,8.3,446,10,1200000
6,-0.00280414008139202,-0.720970828154897,-6.8750928218519e-05,-0.00104699897235702,0.000673543235407936,-808.25188248952,-0.544392587956547,healthy,1,2.2,8.3,446,10,1200000
6.1,-0.00280520666066503,-0.720889910580603,-6.75525453326915e-05,-0.000968370747040282,0.000900529993322517,-1080.63599198702,-0.973145122648139,healthy,1,2.2,8.3,446,10,1200000
6.2,-0.00277022205798162,-0.720785909334051,-6.53010770805345e-05,-0.000866770388521988,0.00113241728102652,-1358.90073723182,-1.53884267804099,healthy,1,2.2,8.3,446,10,1200000
6.3,-0.00269663225367699,-0.720658472182006,-6.19416780037345e-05,-0.000741893044136351,0.00136544922183492,-1638.5390662019,-2.2373418928915,healthy,1,2.2,8.3,446,10,1200000
6.4,-0.00258236117476851,-0.720507637040654,-5.74352326844189e-05,-0.000593822247862387,0.00159562461425418,-1914.74953710501,-3.05522149153654,healthy,1,2.2,8.3,446,10,1200000
6.5,-0.00242588146361492,-0.720333855059533,-5.17598603888625e-05,-0.000423050826370256,0.00181877079994202,-2182.52495993042,-3.96951266726608,healthy,1,2.2,8.3,446,10,1200000
6.6,-0.00222627520854372,-0.720138006073078,-4.49120321648056e-05,-0.000230494071924097,0.00203062413908548,-2436.74896690257,-4.94812127308398,healthy,1,2.2,8.3,446,10,1200000
6.7,-0.00198328251460465,-0.719921405805167,-3.69072807951989e-05,-1.74946282794967e-05,0.00222691492268816,-2672.29790722578,-5.95098008746944,healthy,1,2.2,8.3,446,10,1200000
6.8,-0.00169733629790217,-0.719685804432277,-2.77805045704886e-05,0.00021418123956854,0.00240345441543428,-2884.14529852113,-6.93191175248461,healthy,1,2.2,8.3,446,10,1200000
6.9,-0.00136958227487232,-0.719433376341861,-1.75858842576824e-05,0.000462356088114555,0.00255622169675715,-3067.46603610857,-7.84112323556636,healthy,1,2.2,8.3,446,10,1200000
7,-0.00100188374312284,-0.71916670115294,-6.39644730332367e-06,0.000724462316810411,0.00268144804752151,-3217.7376570258,-8.62819635786827,healthy,1,2.2,8.3,446,10,1200000
7.1,-0.000596811364946115,-0.718888736285571,5.6966769729798e-06,0.000997571417268132,0.00277569680341338,-3330.83616409605,-9.24539129337511,healthy,1,2.2,8.3,446,10,1200000
7.2,-0.000157618722141924,-0.718602781566673,1.85852632752438e-05,0.00127843090322868,0.00283593684496191,-3403.12421395429,-9.651045346335,healthy,1,2.2,8.3,446,10,1200000
7.3,0.000311795128361797,-0.718312436534251,3.21452107749186e-05,0.0015635082060361,0.0028596081946827,-3431.52983361923,-9.8128308325157,healthy,1,2.2,8.3,446,10,1200000
7.4,0.000806934533713445,-0.718021551246935,4.62379378196107e-05,0.00184904068363537,0.00284467851843615,-3413.61422212338,-9.71063504790251,healthy,1,2.2,8.3,446,10,1200000
7.5,0.00132276580186912,-0.717734171518476,6.07119205530801e-05,0.0021310907872854,0.00278968965542248,-3347.62758650697,-9.33884204828542,healthy,1,2.2,8.3,446,10,1200000
7.6,0.0018537836288711,-0.717454479578748,7.54043570477795e-05,0.00240560535816674,0.00269379360693112,-3232.55232831734,-8.70782879609157,healthy,1,2.2,8.3,446,10,1200000
7.7,0.00239408366993482,-0.717186731216067,9.01429506570107e-05,0.00266847798278909,0.00255677768075091,-3068.13321690109,-7.8445345305432,healthy,1,2.2,8.3,446,10,1200000
7.8,0.00293743971158802,-0.716935190484733,0.000104747816662095,0.00291561331708652,0.00237907870541048,-2854.89444649257,-6.79201858384512,healthy,1,2.2,8.3,446,10,1200000
7.9,0.00347738415392423,-0.716704063071152,0.000119033523246208,0.00314299228915011,0.00216178639291117,-2594.1436714934,-5.60798449029107,healthy,1,2.2,8.3,446,10,1200000
8,0.0040072907902833,-0.716497429406989,0.000132811280116494,0.00334673710455544,0.00190663604433967,-2287.9632532076,-4.36231320669026,healthy,1,2.2,8.3,446,10,1200000
8.1,0.00452045913427778,-0.716319178602326,0.000145891285047394,0.00352317500178513,0.00161599086994794,-1939.18904393752,-3.1337117901061,healthy,1,2.2,8.3,446,10,1200000
8.2,0.00501019975321242,-0.716172944249351,0.000158085230236744,0.00366889973518041,0.00129281424870318,-1551.37709844381,-2.00564241797996,healthy,1,2.2,8.3,446,10,1200000
8.3,0.00546992019341733,-0.716062043118633,0.000169208957355498,0.0037808297976432,0.000940632298909051,-1128.75875869086,-1.06174694610111,healthy,1,2.2,8.3,446,10,1200000
8.4,0.00589321110974364,-0.715989417736058,0.000179085233868445,0.00385626243511413,0.000563487187915715,-676.184625498859,-0.381021373134193,healthy,1,2.2,8.3,446,10,1200000
8.5,0.00627393213546441,-0.715957583786786,0.000187546605437247,0.00389292255138146,0.000165881689016306,-199.058026819561,-0.033020081701082,healthy,1,2.2,8.3,446,10,1200000
8.6,0.0066062968615655,-0.715968583241036,0.000194438262108115,0.00388900565788977,-0.000247284393720928,296.741272465109,-0.0733794856535111,healthy,1,2.2,8.3,446,10,1200000
8.7,0.00688495606049405,-0.716023944031232,0.000199620841700524,0.00384321409235815,-0.000670785164222777,804.942197067334,-0.539943283849654,healthy,1,2.2,8.3,446,10,1200000
8.8,0.00710507802362152,-0.716124647028092,0.000202973084305,0.00375478581551994,-0.00109914599014922,1318.97518817907,-1.44974628919334,healthy,1,2.2,8.3,446,10,1200000
8.9,0.0072624246247045,-0.716271100962139,0.000204394248569653,0.00362351519969086,-0.0015267261317398,1832.07135808776,-2.79707121760462,healthy,1,2.2,8.3,446,10,1200000
9,0.00735342151518392,-0.716463125815409,0.000203806204361351,0.00344976534725491,-0.00194780530063705,2337.36636076445,-4.55273458702772,healthy,1,2.2,8.3,446,10,1200000
