time_s,surge_m,heave_m,pitch_rad,relDisp_m,relVel_mps,ptoForce_N,ptoPower_W,faultName,severity,Hs,Tp,runID,phaseSeed,Bfault_NsPm
0,8.18908806427497e-23,-0.719999999999999,6.47852441355353e-20,0,0,-8.83785833034838e-25,-0,pto_damping_loss,0.4,1.1,8.5,74,15,480000
0.1,-4.93359773876421e-11,-0.720000000030421,-2.24496043726536e-12,-3.07224585909289e-11,-1.22527254245336e-09,0.000588130820377637,-7.20620545579288e-13,pto_damping_loss,0.4,1.1,8.5,74,15,480000
0.2,-8.61671652975962e-10,-0.720000000559491,-3.85235126544036e-11,-5.66253482544339e-10,-1.17498061385588e-08,0.00563990694650811,-6.62678132609814e-11,pto_damping_loss,0.4,1.1,8.5,74,15,480000
0.3,-4.5011439588778e-09,-0.720000003047677,-1.97705011164239e-10,-3.08814951875881e-09,-4.28948144835388e-08,0.0205895109520984,-8.8318325259705e-10,pto_damping_loss,0.4,1.1,8.5,74,15,480000
0.4,-1.41395196135343e-08,-0.720000009987622,-6.07114188230629e-10,-1.01285760454264e-08,-1.0323429532434e-07,0.049552461755683,-5.11551347093425e-09,pto_damping_loss,0.4,1.1,8.5,74,15,480000
0.5,-3.28969979395492e-08,-0.72000002436738,-1.37118127039041e-09,-2.47226848175486e-08,-1.9340057811089e-07,0.0928322774932271,-1.79538161345407e-08,pto_damping_loss,0.4,1.1,8.5,74,15,480000
0.6,-6.20507418925603e-08,-0.720000048720742,-2.4852529428567e-09,-4.9433066433928e-08,-3.02923361261481e-07,0.145403213405511,-4.40460301430177e-08,pto_damping_loss,0.4,1.1,8.5,74,15,480000
0.7,-9.90002198707836e-08,-0.720000083984846,-3.74713481414805e-09,-8.51704255018406e-08,-4.09219445535497e-07,0.196425333857038,-8.03810662101017e-08,pto_damping_loss,0.4,1.1,8.5,74,15,480000
0.8,-1.35318846657634e-07,-0.720000128342534,-4.6844201441883e-09,-1.29994261750432e-07,-4.78026374414014e-07,0.229452659718726,-1.09684423024995e-07,pto_damping_loss,0.4,1.1,8.5,74,15,480000
0.9,-1.55069117638499e-07,-0.720000176150425,-4.50622502717173e-09,-1.78000637051414e-07,-4.6459376045136e-07,0.223005005016652,-1.03606733880161e-07,pto_damping_loss,0.4,1.1,8.5,74,15,480000
1,-1.33425931285314e-07,-0.720000217004252,-2.07961594645586e-09,-2.18352998078081e-07,-3.15325583928325e-07,0.151356280285595,-4.77265074622744e-08,pto_damping_loss,0.4,1.1,8.5,74,15,480000
1.1,-3.55936475872195e-08,-0.72000023498207,4.07329815084624e-09,-2.34499315100783e-07,3.01116216338279e-08,-0.0144535783842336,-4.35220683560916e-10,pto_damping_loss,0.4,1.1,8.5,74,15,480000
1.2,1.83986650113013e-07,-0.720000208116272,1.57620084836485e-08,-2.03627935105439e-07,6.36094482142189e-07,-0.305325351428253,-1.94215771301636e-07,pto_damping_loss,0.4,1.1,8.5,74,15,480000
1.3,5.82096187016845e-07,-0.72000010815556,3.5100526161037e-08,-9.64246050328923e-08,1.56770775246754e-06,-0.752499721184422,-1.17969964663048e-06,pto_damping_loss,0.4,1.1,8.5,74,15,480000
1.4,1.22677377099855e-06,-0.719999900677802,6.44669234349419e-08,1.22807441934595e-07,2.88683674774458e-06,-1.3856816389174,-4.00023667590167e-06,pto_damping_loss,0.4,1.1,8.5,74,15,480000
1.5,2.19681374105817e-06,-0.719999545602075,1.06448484849877e-07,4.95614613221729e-07,4.64785250238177e-06,-2.23096920114325,-1.03692157842703e-05,pto_damping_loss,0.4,1.1,8.5,74,15,480000
1.6,3.58061791351267e-06,-0.71999899812964,1.63771251448881e-07,1.06841694125725e-06,6.89310149751486e-06,-3.30868871880712,-2.28071271624199e-05,pto_damping_loss,0.4,1.1,8.5,74,15,480000
1.7,5.47432007874926e-06,-0.719998210121496,2.39213412173686e-07,1.89108053527687e-06,9.64842220829867e-06,-4.63124265998333,-4.46841845326034e-05,pto_damping_loss,0.4,1.1,8.5,74,15,480000
1.8,7.97914165799306e-06,-0.719997131899113,3.35503095542881e-07,3.01505222942392e-06,1.29189079125876e-05,-6.201075798042,-8.011112719388e-05,pto_damping_loss,0.4,1.1,8.5,74,15,480000
1.9,1.11979826964922e-05,-0.719995714433558,4.55202308317467e-07,4.49109190878455e-06,1.66851322948271e-05,-8.008863501517,-0.000133628947054024,pto_damping_loss,0.4,1.1,8.5,74,15,480000
2,1.52313000756958e-05,-0.71999391186721,6.00579926467519e-07,6.36665950497526e-06,2.09000516421731e-05,-10.0320247882431,-0.00020966983614984,pto_damping_loss,0.4,1.1,8.5,74,15,480000
2.1,2.01723740272984e-05,-0.719991684291927,7.73477777825747e-07,8.68303464069833e-06,2.54867881326773e-05,-12.2336583036851,-0.00031179665727359,pto_damping_loss,0.4,1.1,8.5,74,15,480000
2.2,2.61021144860173e-05,-0.719989000687971,9.75174997771307e-07,1.14722663523265e-05,3.03374760923286e-05,-14.5619885243177,-0.000441773978713252,pto_damping_loss,0.4,1.1,8.5,74,15,480000
2.3,3.30836088502672e-05,-0.71998584191217,1.2062569520113e-06,1.4754066693302e-05,3.5313313897009e-05,-16.9503906705643,-0.000598574466426569,pto_damping_loss,0.4,1.1,8.5,74,15,480000
