time_s,surge_m,heave_m,pitch_rad,relDisp_m,relVel_mps,ptoForce_N,ptoPower_W,faultName,severity,Hs,Tp,runID,phaseSeed,Bfault_NsPm
0,8.18908806427497e-23,-0.719999999999999,6.47852441355353e-20,0,0,-8.83785833034838e-25,-0,pto_damping_loss,0.2,1.6,7.2,220,4,240000
0.1,-5.98876001735462e-11,-0.719999999918446,-2.66365025394357e-12,8.49569054977055e-11,3.15217605646779e-09,-0.000756522253552227,-2.38469133383238e-12,pto_damping_loss,0.2,1.6,7.2,220,4,240000
0.2,-1.3058758862654e-09,-0.719999998761892,-5.72413661906324e-11,1.28302675453211e-09,2.4436576224367e-08,-0.00586477829384822,-1.43315101816635e-10,pto_damping_loss,0.2,1.6,7.2,220,4,240000
0.3,-8.20272888478695e-09,-0.719999994449086,-3.54982704071526e-10,5.70716510819602e-09,6.66097690134082e-08,-0.0159863445632182,-1.06484671872472e-09,pto_damping_loss,0.2,1.6,7.2,220,4,240000
0.4,-3.11593720326736e-08,-0.719999985904916,-1.32828015218188e-09,1.42795350161499e-08,9.96803392121041e-08,-0.0239232814109048,-2.38468080610562e-09,pto_damping_loss,0.2,1.6,7.2,220,4,240000
0.5,-8.89277774160043e-08,-0.719999976688904,-3.72562901250442e-09,2.28104735472933e-08,5.00550275699663e-08,-0.0120132066167919,-6.01321388407221e-10,pto_damping_loss,0.2,1.6,7.2,220,4,240000
0.6,-2.1055769694599e-07,-0.719999979166403,-8.65212737737589e-09,1.74836019694958e-08,-2.00799699374626e-07,0.0481919278499115,-9.67692462454591e-09,pto_damping_loss,0.2,1.6,7.2,220,4,240000
0.7,-4.36924600413502e-07,-0.720000018473247,-1.75801764624768e-08,-2.94453341003251e-08,-8.11726357417423e-07,0.194814325780179,-1.58135923038276e-07,pto_damping_loss,0.2,1.6,7.2,220,4,240000
0.8,-8.22012211582028e-07,-0.720000135931969,-3.23443271932237e-08,-1.6335723613009e-07,-1.97540843120563e-06,0.474098023489362,-9.36537232818812e-07,pto_damping_loss,0.2,1.6,7.2,220,4,240000
0.9,-1.43413340859813e-06,-0.720000391879822,-5.51345741404544e-08,-4.50334690618052e-07,-3.9121942094214e-06,0.938926610261131,-3.67326324773526e-06,pto_damping_loss,0.2,1.6,7.2,220,4,240000
1,-2.35716861318956e-06,-0.720000867952894,-8.84967834105135e-08,-9.79632149567486e-07,-6.86423862043118e-06,1.64741726890347,-1.13082652411724e-05,pto_damping_loss,0.2,1.6,7.2,220,4,240000
1.1,-3.69176364260352e-06,-0.720001668806226,-1.3534140106382e-07,-1.86553916489965e-06,-1.1088986712205e-05,2.66135681092923,-2.95117503128304e-05,pto_damping_loss,0.2,1.6,7.2,220,4,240000
1.2,-5.55631387965892e-06,-0.720002923150886,-1.98955140043304e-07,-3.24852104926176e-06,-1.68510847731117e-05,4.04426034554679,-6.81501739273431e-05,pto_damping_loss,0.2,1.6,7.2,220,4,240000
1.3,-8.08749056269648e-06,-0.720004783929966,-2.83006287059434e-07,-5.29545524235516e-06,-2.44123564908924e-05,5.85896555781407,-0.000143031155865217,pto_damping_loss,0.2,1.6,7.2,220,4,240000
1.4,-1.14400354402698e-05,-0.72000742745195,-3.91532571729773e-07,-8.19877369082055e-06,-3.40200085760659e-05,8.16480205825577,-0.000277766636043742,pto_damping_loss,0.2,1.6,7.2,220,4,240000
1.5,-1.57855501791844e-05,-0.720011051334609,-5.2890060775718e-07,-1.21743552345493e-05,-4.58935199125947e-05,11.0144447790228,-0.000505491640792259,pto_damping_loss,0.2,1.6,7.2,220,4,240000
1.6,-2.13100279642998e-05,-0.720015871161621,-6.99727231076925e-07,-1.7458063278772e-05,-6.02107526861356e-05,14.4505806446725,-0.000870080337367433,pto_damping_loss,0.2,1.6,7.2,220,4,240000
1.7,-2.82099154407545e-05,-0.720022115804735,-9.08755417981009e-07,-2.43008781666989e-05,-7.70938231308831e-05,18.5025175514118,-0.0014264298155846,pto_damping_loss,0.2,1.6,7.2,220,4,240000
1.8,-3.66865576346406e-05,-0.720030021414857,-1.16068088283404e-06,-3.29626272756218e-05,-9.65952732999922e-05,23.1828655919981,-0.00223935523773604,pto_damping_loss,0.2,1.6,7.2,220,4,240000
1.9,-4.69389709113557e-05,-0.720039824138293,-1.45992992365695e-06,-4.37043712412564e-05,-0.000118685116569061,28.4844279765747,-0.0033806776548028,pto_damping_loss,0.2,1.6,7.2,220,4,240000
2,-5.91550088161736e-05,-0.720051751671985,-1.81039436892599e-06,-5.67795637853387e-05,-0.000143239365031329,34.3774476075189,-0.00492420376669879,pto_damping_loss,0.2,1.6,7.2,220,4,240000
2.1,-7.35011252224015e-05,-0.720066013831918,-2.21513504368793e-06,-7.24241640555308e-05,-0.000170030652232478,40.8073565357945,-0.0069385014476644,pto_damping_loss,0.2,1.6,7.2,220,4,240000
2.2,-9.01110845969314e-05,-0.720082792367492,-2.67607024973076e-06,-9.08459399031957e-05,-0.000198721518271254,47.6931643851006,-0.00947765803776768,pto_damping_loss,0.2,1.6,7.2,220,4,240000
2.3,-0.000109074102483299,-0.72010223030556,-3.19366950378138e-06,-0.000112213252635182,-0.000228860823393963,54.9265976145511,-0.012570546356295,pto_damping_loss,0.2,1.6,7.2,220,4,240000
2.4,-0.000130423001987013,-0.720124421146675,-3.76667447014343e-06,-0.000136643653481084,-0.000259883611776922,62.3720668264613,-0.0162094780008523,pto_damping_loss,0.2,1.6,7.2,220,4,240000
2.5,-0.000154123028130016,-0.720149398258652,-4.39186819100596e-06,-0.000164192645794012,-0.000291114576322998,69.8674983175194,-0.0203394471714524,pto_damping_loss,0.2,1.6,7.2,220,4,240000
2.6,-0.000180061960398493,-0.720177124818207,-5.06391024354453e-06,-0.00019484297312379,-0.000321775096106455,77.2260230655493,-0.0248494109938365,pto_damping_loss,0.2,1.6,7.2,220,4,240000
2.7,-0.000208042100225393,-0.720207484639435,-5.77524960604697e-06,-0.000228494781799658,-0.000350993647496392,84.2384753991339,-0.0295671697398771,pto_damping_loss,0.2,1.6,7.2,220,4,240000
2.8,-0.00023777458751857,-0.720240274200272,-6.51611942032269e-06,-0.000264956979165331,-0.000377819243022263,90.6766183253429,-0.0342593712954997,pto_damping_loss,0.2,1.6,7.2,220,4,240000
2.9,-0.000268876329056467,-0.720275196137841,-7.27460940200713e-06,-0.000303940068143306,-0.000401237441398671,96.2969859356807,-0.0386379562512363,pto_damping_loss,0.2,1.6,7.2,220,4,240000
