time_s,surge_m,heave_m,pitch_rad,relDisp_m,relVel_mps,ptoForce_N,ptoPower_W,faultName,severity,Hs,Tp,runID,phaseSeed,Bfault_NsPm
0,8.18908806427497e-23,-0.719999999999999,6.47852441355353e-20,0,0,-8.83785833034838e-25,-0,pto_damping_loss,0.8,1.6,7.2,267,14,960000
0.1,-3.81027840249109e-11,-0.720000000606365,-1.65895004144982e-12,-6.47717456069271e-10,-2.56495141618831e-08,0.0246235335954086,-6.31581673671035e-10,pto_damping_loss,0.8,1.6,7.2,267,14,960000
0.2,-3.419474144777e-10,-0.720000010972381,-1.38456213933185e-11,-1.17415374936264e-08,-2.42618564545425e-07,0.232913821963606,-5.65092171475988e-08,pto_damping_loss,0.8,1.6,7.2,267,14,960000
0.3,-6.46801790339383e-11,-0.720000059470895,6.57653637439471e-12,-6.37139123765554e-08,-8.84441118298314e-07,0.849063473566372,-7.50946648067292e-07,pto_damping_loss,0.8,1.6,7.2,267,14,960000
0.4,6.53083596680332e-09,-0.720000195636487,3.22791491511453e-10,-2.09824267257224e-07,-2.15672916954722e-06,2.07046000276532,-4.46542148234478e-06,pto_damping_loss,0.8,1.6,7.2,267,14,960000
0.5,3.57740883126813e-08,-0.720000484013539,1.65240451229244e-09,-5.19634963290939e-07,-4.16942788176561e-06,4.00265076649497,-1.66887637067946e-05,pto_damping_loss,0.8,1.6,7.2,267,14,960000
0.6,1.21268981295565e-07,-0.72000099358279,5.41454633386822e-09,-1.06763975745452e-06,-6.90924028543879e-06,6.63287067402123,-4.5828097269053e-05,pto_damping_loss,0.8,1.6,7.2,267,14,960000
0.7,3.20696884200674e-07,-0.720001786354473,1.39429342563222e-08,-1.92092668804577e-06,-1.02443323543416e-05,9.8345590601679,-0.000100748491570761,pto_damping_loss,0.8,1.6,7.2,267,14,960000
0.8,7.22178577372341e-07,-0.720002907172447,3.06386654325743e-08,-3.12816326168616e-06,-1.39420241940625e-05,13.3843432263,-0.000186604837082711,pto_damping_loss,0.8,1.6,7.2,267,14,960000
0.9,1.44995057385228e-06,-0.720004375113991,6.00578455797309e-08,-4.7103959251647e-06,-1.76852966956144e-05,16.9778848277898,-0.000300258930443432,pto_damping_loss,0.8,1.6,7.2,267,14,960000
1,2.66928030216022e-06,-0.720006176071827,1.07942045442063e-07,-6.65323599395681e-06,-2.10839624790974e-05,20.2406039799335,-0.000426752134867187,pto_damping_loss,0.8,1.6,7.2,267,14,960000
1.1,4.59054432897375e-06,-0.720008256141938,1.81202629296517e-07,-8.89998467730797e-06,-2.36831878839443e-05,22.7358603685865,-0.000538457652812357,pto_damping_loss,0.8,1.6,7.2,267,14,960000
1.2,7.47229576272184e-06,-0.720010515837327,2.87866734307673e-07,-1.13456506684436e-05,-2.49736687563924e-05,23.9747220061366,-0.000598736765907847,pto_damping_loss,0.8,1.6,7.2,267,14,960000
1.3,1.16230422922334e-05,-0.720012805477797,4.3698774690699e-07,-1.38321798331313e-05,-2.4406027897681e-05,23.4297867817737,-0.000571828029832688,pto_damping_loss,0.8,1.6,7.2,267,14,960000
1.4,1.74014057805306e-05,-0.720014922204772,6.38519709974693e-07,-1.61453498501883e-05,-2.14095926053933e-05,20.5532089011775,-0.000440035829307754,pto_damping_loss,0.8,1.6,7.2,267,14,960000
1.5,2.52143538107793e-05,-0.720016608981755,9.03154154400412e-07,-1.80137114153332e-05,-1.5414233747595e-05,14.7976643976911,-0.000228094657944476,pto_damping_loss,0.8,1.6,7.2,267,14,960000
1.6,3.55132656124028e-05,-0.720017555785983,1.24211868580651e-06,-1.91098000618864e-05,-5.87365198547348e-06,5.63870590605461,-3.31197961405987e-05,pto_damping_loss,0.8,1.6,7.2,267,14,960000
1.7,4.87876899592149e-05,-0.720017403062435,1.66693801723127e-06,-1.9053695908891e-05,7.71112822757213e-06,-7.40268309846908,-5.70830386003761e-05,pto_damping_loss,0.8,1.6,7.2,267,14,960000
1.8,6.55567470160331e-05,-0.720015747425393,2.18915908555114e-06,-1.74189089664437e-05,2.57688349921775e-05,-24.7380815924903,-0.000637471542579904,pto_damping_loss,0.8,1.6,7.2,267,14,960000
1.9,8.63582089484138e-05,-0.720012149538157,2.82004216958955e-06,-1.37405048402489e-05,4.86361310051171e-05,-46.6906857649124,-0.00227085430958104,pto_damping_loss,0.8,1.6,7.2,267,14,960000
2,0.000111735366497613,-0.720006144053116,3.5702198699675e-06,-7.52533475487192e-06,7.65374251996488e-05,-73.4759281916629,-0.00562365835794417,pto_damping_loss,0.8,1.6,7.2,267,14,960000
2.1,0.000142221857777473,-0.719997251435707,4.44932599551989e-06,1.73582268972695e-06,0.000109566929831088,-105.184252637844,-0.0115247156281061,pto_damping_loss,0.8,1.6,7.2,267,14,960000
2.2,0.000178324708395737,-0.719984991427228,5.46559733169392e-06,1.4554466306775e-05,0.00014767364949311,-141.766703513385,-0.0209352064844292,pto_damping_loss,0.8,1.6,7.2,267,14,960000
2.3,0.000220505912087435,-0.719968897829585,6.62545317272331e-06,3.14292510107751e-05,0.000190649980004433,-183.023980804255,-0.034893518280663,pto_damping_loss,0.8,1.6,7.2,267,14,960000
2.4,0.00026916296720585,-0.719948534229612,7.933060297981e-06,5.28299319198205e-05,0.000238124509629709,-228.59952924452,-0.0544351508029335,pto_damping_loss,0.8,1.6,7.2,267,14,960000
2.5,0.000324608871775844,-0.719923510226707,9.38989443326315e-06,7.91808182232868e-05,0.000289559480523493,-277.977101302553,-0.0804909050505936,pto_damping_loss,0.8,1.6,7.2,267,14,960000
2.6,0.000387052161362447,-0.719893497688929,1.09943126901271e-05,0.000110844219147243,0.000344253209896365,-330.48308150051,-0.113769861622993,pto_damping_loss,0.8,1.6,7.2,267,14,960000
2.7,0.000456577641981652,-0.719858246539516,1.27411545130761e-05,0.000148104385867121,0.000401347600808336,-385.293696776001,-0.154636700807623,pto_damping_loss,0.8,1.6,7.2,267,14,960000
2.8,0.000533128517114204,-0.719817599569378,1.46213908153767e-05,0.000191152457384204,0.00045984069498731,-441.447067187817,-0.202995326175755,pto_damping_loss,0.8,1.6,7.2,267,14,960000
2.9,0.000616490626833048,-0.719771505782155,1.66218418694551e-05,0.000240072904468921,0.000518604035992207,-497.859874552517,-0.258192140301509,pto_damping_loss,0.8,1.6,7.2,267,14,960000
3,0.000706279502737892,-0.719720031807849,1.8724983884119e-05,0.000294831933299051,0.00057640442474692,-553.348247757042,-0.318952378433114,pto_damping_loss,0.8,1.6,7.2,267,14,960000
3.1,0.000801930891370167,-0.719663370968853,2.0908861950241e-05,0.000355268259542422,0.000631929469264436,-606.652290493857,-0.383361459959837,pto_damping_loss,0.8,1.6,7.2,267,14,960000
3.2,0.000902695310168599,-0.719601849647528,2.31471232428179e-05,0.000421086595475698,0.000683816166859092,-656.463520184727,-0.448900368055547,pto_damping_loss,0.8,1.6,7.2,267,14,960000
3.3,0.00100763707592903,-0.719535930685865,2.54091792760447e-05,0.000491854109500501,0.000730681620937409,-701.454356099911,-0.51253980592869,pto_damping_loss,0.8,1.6,7.2,267,14,960000
3.4,0.00111563809138703,-0.719466213640739,2.7660500013938e-05,0.000567000022319728,0.000771154894661271,-740.308698874818,-0.570892676697633,pto_damping_loss,0.8,1.6,7.2,267,14,960000
3.5,0.00122540649899912,-0.719393431820638,2.98630362401996e-05,0.000645818401062587,0.000803908946945102,-771.752589067296,-0.620418811179246,pto_damping_loss,0.8,1.6,7.2,267,14,960000
3.6,0.001335490122381,-0.719318446135532,3.19757603249792e-05,0.000727474106310618,0.000827691586274453,-794.583922823473,-0.657670427509938,pto_damping_loss,0.8,1.6,7.2,267,14,960000
3.7,0.0014442944262993,-0.719242235896967,3.39553098985719e-05,0.000811011742038604,0.000841354415739665,-807.700239110076,-0.679562162769245,pto_damping_loss,0.8,1.6,7.2,267,14,960000
3.8,0.00155010454654838,-0.719165886805595,3.5756714360274e-05,0.00089536735966936,0.000843878826789876,-810.123673718279,-0.683646215332085,pto_damping_loss,0.8,1.6,7.2,267,14,960000
3.9,0.00165111078110673,-0.719090576453453,3.73341808748428e-05,0.000979382579180108,0.000834398225338834,-801.022296325279,-0.66837158251065,pto_damping_loss,0.8,1.6,7.2,267,14,960000
4,0.00174543680112645,-0.719017557745023,3.86419146293556e-05,0.00106182071639104,0.000812215835673302,-779.727202246368,-0.633306781169739,pto_damping_loss,0.8,1.6,7.2,267,14,960000
4.1,0.00183116973941176,-0.718948140700341,3.96349475664637e-05,0.00114138444939793,0.000776817617204534,-745.744912516351,-0.579307785983355,pto_damping_loss,0.8,1.6,7.2,267,14,960000
4.2,0.00190639124731541,-0.718883673143797,4.02699503742148e-05,0.00121673452091706,0.000727880037551907,-698.764836049829,-0.508616975103902,pto_damping_loss,0.8,1.6,7.2,267,14,960000
4.3,0.00196920857845588,-0.718825520800834,4.05060039232423e-05,0.00128650895851206,0.0006652726633961,-638.661756860254,-0.424884207995654,pto_damping_loss,0.8,1.6,7.2,267,14,960000
4.4,0.00201778475791756,-0.718775047322126,4.03053083183613e-05,0.00134934230174763,0.000589055748603743,-565.493518659591,-0.33310720796459,pto_damping_loss,0.8,1.6,7.2,267,14,960000
4.5,0.00205036692668094,-0.718733594730455,3.96338100504108e-05,0.00140388435381894,0.000499473208209819,-479.494279881425,-0.239494546290632,pto_damping_loss,0.8,1.6,7.2,267,14,960000
